idx	id	description_da	specialty_en	auto_da_full
34	778	Diagn. radiologi Kbh., udvidet mammografi	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., udvidet mammografi
35	779	Diagn. radiologi Kbh., underarm	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., underarm
36	781	Diagn. radiologi Kbh., underkæbe	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., underkæbe
37	782	Diagn. radiologi Kbh., us.tyndtarmspassage	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., undersøgelse tyndtarmspassage
38	783	Diagn. radiologi Kbh., ydelse 2160	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., ydelse 2160
39	784	Diagn. radiologi Kbh., ydelse 2162	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., ydelse 2162
40	785	Diagn. radiologi Kbh., øvre abdomen	Diagnostic radiology, Copenhagen	Diagn. radiologi Kbh., øvre abdomen
41	787	Dermato-venerologi, (procedure not documented)	Dermato-venereology	Dermato-venerologi, (procedure not documented)
42	788	Dermato-venerologi, 1. Kons.	Dermato-venereology	Dermato-venerologi, 1. konsultation
43	790	Dermato-venerologi, 1. kons. stk3 ¤3A35	Dermato-venereology	Dermato-venerologi, 1. konsultation stk3 ¤3A35
44	791	Dermato-venerologi, 1. kons.¤3 digi.foto	Dermato-venereology	Dermato-venerologi, 1. konsultation ¤3 digi.foto
45	792	Dermato-venerologi, 1. konsultation	Dermato-venereology	Dermato-venerologi, 1. konsultation
46	793	Dermato-venerologi, 1.kons digi.foto a35	Dermato-venereology	Dermato-venerologi, 1 konsultation digi.foto a35
47	794	Dermato-venerologi, 2. Kons.	Dermato-venereology	Dermato-venerologi, 2. konsultation
48	795	Dermato-venerologi, 2. kons. 3 digi.foto	Dermato-venereology	Dermato-venerologi, 2. konsultation 3 digi.foto
49	796	Dermato-venerologi, 2. kons. stk3 ¤3A35	Dermato-venereology	Dermato-venerologi, 2. konsultation stk3 ¤3A35
50	798	Dermato-venerologi, 3. kons. stk3 ¤3A35	Dermato-venereology	Dermato-venerologi, 3. konsultation stk3 ¤3A35
51	799	Dermato-venerologi, 3.kon psoriasis A65	Dermato-venereology	Dermato-venerologi, 3.kon psoriasis A65
52	800	Dermato-venerologi, 4.kon psoriasis A65	Dermato-venereology	Dermato-venerologi, 4.kon psoriasis A65
53	801	Dermato-venerologi, Afstandstillæg	Dermato-venereology	Dermato-venerologi, Afstandstillæg
54	808	Dermato-venerologi, Allergi  3A65	Dermato-venereology	Dermato-venerologi, Allergi  3A65
55	809	Dermato-venerologi, Anoscopi	Dermato-venereology	Dermato-venerologi, Anoscopi
56	810	Dermato-venerologi, Ansigt+hals pr. beh	Dermato-venereology	Dermato-venerologi, Ansigt+hals per behandling
57	811	Dermato-venerologi, Ansigt/hals pr.beh	Dermato-venereology	Dermato-venerologi, Ansigt/hals per behandling
58	812	Dermato-venerologi, Argonlaser Pg.3  A15	Dermato-venereology	Dermato-venerologi, Argonlaser Pg.3  A15
59	813	Dermato-venerologi, Beh melanonpati.A65	Dermato-venereology	Dermato-venerologi, behandling melanonpati.A65
60	814	Dermato-venerologi, Beh. ven.skinnebens.	Dermato-venereology	Dermato-venerologi, behandling ven.skinnebens.
61	815	Dermato-venerologi, Besøg	Dermato-venereology	Dermato-venerologi, Besøg
62	816	Dermato-venerologi, Biopsi	Dermato-venereology	Dermato-venerologi, Biopsi
63	818	Dermato-venerologi, Blodprøvetagning   3	Dermato-venereology	Dermato-venerologi, Blodprøvetagning   3
64	819	Dermato-venerologi, Botox beh. amt 65	Dermato-venereology	Dermato-venerologi, Botox behandling amt 65
65	822	Dermato-venerologi, Doppler	Dermato-venereology	Dermato-venerologi, Doppler
66	823	Dermato-venerologi, Dyrkning gærsvamp 12	Dermato-venereology	Dermato-venerologi, Dyrkning gærsvamp 12
67	824	Dermato-venerologi, Dyrkning hudsvamp 12	Dermato-venereology	Dermato-venerologi, Dyrkning hudsvamp 12
68	825	Dermato-venerologi, E-mail kons	Dermato-venereology	Dermato-venerologi, E-mail konsultation
69	826	Dermato-venerologi, E-mail kons.	Dermato-venereology	Dermato-venerologi, E-mail konsultation
70	827	Dermato-venerologi, E-mail konsultation	Dermato-venereology	Dermato-venerologi, E-mail konsultation
71	829	Dermato-venerologi, Eksem 2. konsult	Dermato-venereology	Dermato-venerologi, Eksem 2. konsult
72	831	Dermato-venerologi, Eksem senere konsult	Dermato-venereology	Dermato-venerologi, Eksem senere konsult
73	832	Dermato-venerologi, Eksem telefonkunsult	Dermato-venereology	Dermato-venerologi, Eksem telefonkunsult
74	833	Dermato-venerologi, Episkopi	Dermato-venereology	Dermato-venerologi, Episkopi
75	834	Dermato-venerologi, Fjern. Svulst   Flg.	Dermato-venereology	Dermato-venerologi, fjernelse Svulst   følgende
76	835	Dermato-venerologi, Fjern. Svulst Hud 1.	Dermato-venereology	Dermato-venerologi, fjernelse Svulst Hud 1.
77	836	Dermato-venerologi, Fjern.Svulst exci.1.	Dermato-venereology	Dermato-venerologi, fjernelse Svulst exci.1.
78	837	Dermato-venerologi, Fjern.Svulst exci.Fg	Dermato-venereology	Dermato-venerologi, fjernelse Svulst exci.Fg
79	838	Dermato-venerologi, Fjernelse Negl    1.	Dermato-venereology	Dermato-venerologi, Fjernelse Negl    1.
80	839	Dermato-venerologi, Fjernelse Negl  Flg.	Dermato-venereology	Dermato-venerologi, Fjernelse Negl  følgende
81	841	Dermato-venerologi, Hage/Hals pr. beh.	Dermato-venereology	Dermato-venerologi, Hage/Hals per behandling
82	842	Dermato-venerologi, Hage/hals pr. beh.	Dermato-venereology	Dermato-venerologi, Hage/hals per behandling
83	843	Dermato-venerologi, Hele ansigtet pr. be	Dermato-venereology	Dermato-venerologi, Hele ansigtet per be
84	844	Dermato-venerologi, Hele ansigtet pr.beh	Dermato-venereology	Dermato-venerologi, Hele ansigtet per behandling
85	845	Dermato-venerologi, Hirsutisme R81	Dermato-venereology	Dermato-venerologi, Hirsutisme R81
86	846	Dermato-venerologi, Hæmangioner R81	Dermato-venereology	Dermato-venerologi, Hæmangioner R81
87	847	Dermato-venerologi, Incision Absces   1.	Dermato-venereology	Dermato-venerologi, Incision Absces   1.
