code,description
EDU_audd_2003,"Skibskok, grundkursus"
EDU_audd_2005,"Skibsassistent, grundkursus modul 1+2"
EDU_audd_2007,"Befaren matros, afslutningskursus"
EDU_audd_2008,"Befaren skibsassistent, modul 3"
EDU_audd_2009,"Befaren motormand, afslutningskursus"
EDU_audd_2010,"Skibskok, afslutningskursus"
EDU_audd_2015,Kystskipper
EDU_audd_2016,Kystskipper og fiskeskipper af 3.grad
EDU_audd_2017,Sætteskipper og fiskeskipper af 1.grad
EDU_audd_2018,Erhvervsfisker
EDU_audd_2019,Færgenavigatør
EDU_audd_2021,Sætteskipper
EDU_audd_2022,Fiskeskipper af 3.grad
EDU_audd_2027,Fiskeskipper af 1.grad
EDU_audd_2028,Maritimt forberedelseskursus
EDU_audd_2029,"Juniorofficer, 1.teoridel"
EDU_audd_205,7-8 år ivu
EDU_audd_210,9-10 år ivu
EDU_audd_215,"Studentereksamen mv., ivu"
EDU_audd_220,"Pædagogik, ivu (amu)"
EDU_audd_239,"Handel/kontor, ivu (amu)"
EDU_audd_2401,Efterskole una
EDU_audd_2411,"Husholdningskursus, alment"
EDU_audd_2413,Køkkenleder 1
EDU_audd_2414,Husholdningstekniker
EDU_audd_2415,"Husholdningsskole, efteruddannelseskursus"
EDU_audd_2417,"Husholdningsskole, andre kurser"
EDU_audd_2419,Køkkenleder 2
EDU_audd_2421,Håndarbejdskursus
EDU_audd_2425,Særlig tilrettelagt ungdomsuddannelse (STU)
EDU_audd_2428,Daghøjskoler
EDU_audd_2431,"Ungdomshøjskolekursus, alment"
EDU_audd_2432,"Ungdomshøjskolekursus, andre"
EDU_audd_2441,"Folkehøjskolekursus, alment"
EDU_audd_2442,"Folkehøjskolekursus, særlig gymnastik-/idrætskursus"
EDU_audd_2443,"Folkehøjskolekursus, håndarbejde og sløjd"
EDU_audd_2444,"Folkehøjskolekursus, forkursus sygepleje"
EDU_audd_2445,"Folkehøjskolekursus, særlig tilrettelagt for handicappede"
EDU_audd_2446,"Folkehøjskolekursus, pensionister"
EDU_audd_2447,"Folkehøjskolekursus, andre"
EDU_audd_2459,Landmand faglært modul 1a
EDU_audd_2460,Landmand faglært modul 1b
EDU_audd_2461,"Driftlederkursus, udvidet 5 mdr."
EDU_audd_2462,"Landmand, efteruddannelse"
EDU_audd_2463,"Landbrugstekniker, regnskab"
EDU_audd_2464,"Landbrugstekniker, biologi"
EDU_audd_2465,"Landbrugstekniker, husdyrbrug"
EDU_audd_2466,"Landbrugstekniker, maskiner"
EDU_audd_2467,"Landbrugstekniker, planteavl"
EDU_audd_2468,"Landbrugstekniker, landbrug diplomuddannelse"
EDU_audd_2469,"Inseminør, kvæg"
EDU_audd_2470,Produktionsassistent landbrug
EDU_audd_2471,"Landbrugslærer, efteruddannelse"
