code,description
LAB_disco_1431,"Ledelse af hovedaktiviteten inden for sport, forlystelse og kultur"
LAB_disco_1439,Ledelse af hovedaktiviteten inden for andre serviceområder
LAB_disco_2111,Arbejde inden for fysik og astronomi
LAB_disco_2112,Arbejde inden for meteorologi
LAB_disco_2113,Arbejde inden for kemi
LAB_disco_2114,Arbejde inden for geologi og geofysik
LAB_disco_2120,"Arbejde med matematiske, aktuariske og statistiske metoder og teorier"
LAB_disco_2131,"Arbejde inden for biokemi, biologi, botanik, zoologi og beslægtede områder"
LAB_disco_2132,"Rådgivning inden for landbrug, skovbrug og fiskeri"
LAB_disco_2133,Arbejde inden for miljøbeskyttelse
LAB_disco_2141,Ingeniørarbejde i industri og produktion
LAB_disco_2142,Ingeniørarbejde vedrørende bygninger og anlæg
LAB_disco_2143,Ingeniørarbejde inden for miljø
LAB_disco_2144,Ingeniørarbejde inden for mekaniske systemer
LAB_disco_2145,Ingeniørarbejde inden for kemi
LAB_disco_2146,"Ingeniørarbejde inden for minedrift, metallurgi og beslægtede områder"
LAB_disco_2149,Andet ingeniørarbejde (undtagen elektroteknologi)
LAB_disco_2151,Ingeniørarbejde inden for elektricitet
LAB_disco_2152,Ingeniørarbejde inden for elektronik
LAB_disco_2153,Ingeniørarbejde inden for telekommunikation
LAB_disco_2161,Arbejde med bygningsarkitektur
LAB_disco_2162,Arbejde med landskabsarkitektur
LAB_disco_2163,Arbejde med produkt- og tøjdesign
LAB_disco_2164,Arbejde med by- og trafikplanlægning
LAB_disco_2165,Arbejde med kartografi og landinspektørarbejde
LAB_disco_2166,Arbejde med grafisk og multimediedesign
LAB_disco_2211,Almindeligt lægearbejde
LAB_disco_2212,Speciallægearbejde
LAB_disco_2221,Sygeplejerskearbejde
LAB_disco_2222,Jordemoderarbejde
LAB_disco_2230,Arbejde inden for naturmedicin og alternativ behandling
LAB_disco_2240,Paramedicinsk arbejde
LAB_disco_2250,Dyrlægearbejde
LAB_disco_2261,Tandlægearbejde
LAB_disco_2262,Farmaceutarbejde
LAB_disco_2263,Arbejde inden for arbejdsmiljø og hygiejne
LAB_disco_2264,Fysioterapeut- og afspændingspædagogarbejde
LAB_disco_2265,Kost- og ernæringsarbejde
LAB_disco_2266,Arbejde inden for audiologi og logopædi
LAB_disco_2267,Optiker/optometristarbejde
LAB_disco_2269,Sundhedsarbejde ikke klassificeret andetsteds
LAB_disco_2310,Undervisning og forskning på universiteter og højere læreanstalter
LAB_disco_2320,Undervisning ved erhvervsuddannelser
LAB_disco_2330,Almen undervisning efter grundskoleniveau
LAB_disco_2341,Undervisning på grundskoleniveau (inkl. 10. klasse)
LAB_disco_2342,Undervisning før grundskoleniveau
LAB_disco_2343,Pædagogisk arbejde
LAB_disco_2351,"Forskning, udvikling og rådgivning inden for undervisningsmetoder"
LAB_disco_2352,Specialundervisning
LAB_disco_2353,Anden sprogundervisning
LAB_disco_2354,Anden musik- og sangundervisning
LAB_disco_2355,Anden undervisning inden for kreative fag
LAB_disco_2356,Anden undervisning inden for informationsteknologi
LAB_disco_2357,Specialpædagogisk arbejde
LAB_disco_2359,Undervisnings- og pædagogisk arbejde ikke klassificeret andetsteds
LAB_disco_2411,Revisions- og regnskabscontrollerarbejde
LAB_disco_2412,"Rådgivning inden for finans, forsikring og investering"
LAB_disco_2413,"Arbejde med analyse, produktudvikling- og vedligeholdelse inden for finans og forsikring"
LAB_disco_2421,Analytikerarbejde inden for ledelse og virksomhedsorganisation
LAB_disco_2422,Arbejde med virksomhedsstrategi/policy
LAB_disco_2423,Arbejde med analyse og rådgivning inden for HR
LAB_disco_2424,Arbejde med personaleudvikling og -oplæring
LAB_disco_2431,Arbejde inden for reklame og marketing
LAB_disco_2432,Arbejde inden for PR
LAB_disco_2433,Arbejde inden for teknisk og medicinsk salg (undtagen informations- og kommunikationsteknologi)
LAB_disco_2434,Arbejde inden for salg af informations- og kommunikationsteknologi
LAB_disco_2511,Systemanalytikerarbejde
LAB_disco_2512,Softwareudvikling
LAB_disco_2513,Web- og multimedieudvikling
LAB_disco_2514,Vedligeholdelse og dokumentation af software
LAB_disco_2519,"Andet arbejde med software, herunder test og kvalitetssikring"
LAB_disco_2521,Design og administration af databaser
LAB_disco_2522,Systemadministration
LAB_disco_2523,Arbejde med computernetværk
LAB_disco_2529,Andet arbejde med databaser og netværk
LAB_disco_2611,Advokatarbejde
LAB_disco_2612,Dommerarbejde
LAB_disco_2619,Andet juridisk arbejde
LAB_disco_2621,Arkivar- og museumsinspektørarbejde
LAB_disco_2622,Bibliotekararbejde og andet informationsarbejde
LAB_disco_2631,Arbejde inden for samfundsøkonomi
LAB_disco_2632,"Arbejde inden for sociologi, antropologi og beslægtede områder"
