code,prefix,database,value,description,description_da,description_en,source,confidence,language,parent_code,hierarchy_level
SOC_frakkod_08,SOC,frakkod,08,"Frakendt førerretten betinget i medfør af færdselslovens § 126, stk. 1, nr. 2, jf. § 128. Gældende til 010797","Frakendt førerretten betinget i medfør af færdselslovens § 126, stk. 1, nr. 2, jf. § 128. Gældende til 010797",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_UU,SOC,frakkod,UU,"Førerretsfrakendelse jf. færdsl. § 126, stk. 1, nr. 10, jf. § 128","Førerretsfrakendelse jf. færdsl. § 126, stk. 1, nr. 10, jf. § 128",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_VI,SOC,frakkod,VI,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 9 jf. § 128,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 9 jf. § 128,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_ÅB,SOC,frakkod,ÅB,"Åbent med begrænset fællesskab (Open, limited community)",,"Åbent med begrænset fællesskab (Open, limited community)",none|generated,medium,danish,,
SOC_frakkod_VB,SOC,frakkod,VB,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 12,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 12,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_05,SOC,frakkod,05,"Frakendelse af kørekort i medfør af færdselslovens § 126, stk. 2, nr. 4, jf. § 127. Gældende til 150599","Frakendelse af kørekort i medfør af færdselslovens § 126, stk. 2, nr. 4, jf. § 127. Gældende til 150599",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_38,SOC,frakkod,38,Tilhold i henhold til bortvisningslov,Tilhold i henhold til bortvisningslov,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_54,SOC,frakkod,54,"Betinget førerretsfrakendelse i medf. af færdsl. § 126, stk. 1, nr. 3, jf. § 128","Betinget førerretsfrakendelse i medf. af færdsl. § 126, stk. 1, nr. 3, jf. § 128",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_VG,SOC,frakkod,VG,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 7 jf. § 128,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 7 jf. § 128,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_13,SOC,frakkod,13,"Frakendt førerretten betinget i medfør af færdselslovens § 126, stk. 1, nr. 2, jf. § 128. Gældende til 150599","Frakendt førerretten betinget i medfør af færdselslovens § 126, stk. 1, nr. 2, jf. § 128. Gældende til 150599",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_03,SOC,frakkod,03,"Frakendelse af kørekort i medfør af færdselslovens § 126, stk. 2, nr. 2, jf. § 127. Gældende til 150599","Frakendelse af kørekort i medfør af færdselslovens § 126, stk. 2, nr. 2, jf. § 127. Gældende til 150599",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_VO,SOC,frakkod,VO,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 1 jf. § 128 HÃJ PROMILLE/MG,Førerretsfrakendelse jf. færdsl. § 126 stk. 1 nr. 1 jf. § 128 HÃJ PROMILLE/MG,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_UG,SOC,frakkod,UG,Ubetinget førerretsfrakendelse i medf. af færdsl. § 126 stk. 1 nr. 7 jf. § 128. Kørsel i prøvetiden for en betinget frakendelse (tidl.65),Ubetinget førerretsfrakendelse i medf. af færdsl. § 126 stk. 1 nr. 7 jf. § 128. Kørsel i prøvetiden for en betinget frakendelse (tidl.65),,raw_soc_frakkod,medium,danish,,
SOC_frakkod_04,SOC,frakkod,04,"Frakendelse af kørekort i medfør af færdselslovens § 126, stk. 2, nr. 3, jf. § 127. Gældende til 150599","Frakendelse af kørekort i medfør af færdselslovens § 126, stk. 2, nr. 3, jf. § 127. Gældende til 150599",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_UR,SOC,frakkod,UR,"Førerretsfrakendelse jf. færdsl. § 126, stk. 1, nr. 7, jf. § 128","Førerretsfrakendelse jf. færdsl. § 126, stk. 1, nr. 7, jf. § 128",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_49,SOC,frakkod,49,Meddelt strakstilhold,Meddelt strakstilhold,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_BH,SOC,frakkod,BH,"Betinget førerretsfrakendelse i medf. af færdsl. § 125 stk. 1 nr. 7 jf. stk. 4. Spirituskørsel m. promille mellem 0,5-1,2 (tidl.86)","Betinget førerretsfrakendelse i medf. af færdsl. § 125 stk. 1 nr. 7 jf. stk. 4. Spirituskørsel m. promille mellem 0,5-1,2 (tidl.86)",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_BR,SOC,frakkod,BR,"Betinget førerretsfrakendelse jf. færdsl. § 125, stk. 1, nr. 6","Betinget førerretsfrakendelse jf. færdsl. § 125, stk. 1, nr. 6",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_CB,SOC,frakkod,CB,Betinget førerretsfrakendelse jf. Færdselslovens § 125 stk. 1 nr. 6,Betinget førerretsfrakendelse jf. Færdselslovens § 125 stk. 1 nr. 6,,raw_soc_frakkod,medium,danish,,
SOC_frakkod_44,SOC,frakkod,44,"Ubetinget førerretsfrakendelse i medf. af færdsl. § 126, stk. 2, nr. 3, jf. § 127","Ubetinget førerretsfrakendelse i medf. af færdsl. § 126, stk. 2, nr. 3, jf. § 127",,raw_soc_frakkod,medium,danish,,
SOC_frakkod_26,SOC,frakkod,26,"Advarsel (udvisning), jf. udlændingelovens § 24 b","Advarsel (udvisning), jf. udlændingelovens § 24 b",,raw_soc_frakkod,medium,danish,,
