code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people,program_group,is_primary_code
LAB_kontanthj_13_Q58,LAB,kontanthj,13_Q58,Kontanthjælp (underhold/forsørgelse) — 58/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 58/100 kvantil,,,Cash assistance (subsistence/support) — 58/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,48985,46397,0.005139,,
LAB_kontanthj_13_Q22,LAB,kontanthj,13_Q22,Kontanthjælp (underhold/forsørgelse) — 22/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 22/100 kvantil,,,Cash assistance (subsistence/support) — 22/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,94480,88562,0.009809,,
LAB_kontanthj_13_Q18,LAB,kontanthj,13_Q18,Kontanthjælp (underhold/forsørgelse) — 18/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 18/100 kvantil,,,Cash assistance (subsistence/support) — 18/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,111189,101744,0.011269,,
LAB_kontanthj_13_Q11,LAB,kontanthj,13_Q11,Kontanthjælp (underhold/forsørgelse) — 11/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 11/100 kvantil,,,Cash assistance (subsistence/support) — 11/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,146595,132234,0.014646,,
LAB_kontanthj_13_Q30,LAB,kontanthj,13_Q30,Kontanthjælp (underhold/forsørgelse) — 30/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 30/100 kvantil,,,Cash assistance (subsistence/support) — 30/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,74950,71171,0.007883,,
LAB_kontanthj_13_Q5,LAB,kontanthj,13_Q5,Kontanthjælp (underhold/forsørgelse) — 5/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 5/100 kvantil,,,Cash assistance (subsistence/support) — 5/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,83701,76105,0.008429,,
LAB_kontanthj_13_Q40,LAB,kontanthj,13_Q40,Kontanthjælp (underhold/forsørgelse) — 40/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 40/100 kvantil,,,Cash assistance (subsistence/support) — 40/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,54996,52341,0.005797,,
LAB_kontanthj_13_Q29,LAB,kontanthj,13_Q29,Kontanthjælp (underhold/forsørgelse) — 29/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 29/100 kvantil,,,Cash assistance (subsistence/support) — 29/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,66014,62650,0.006939,,
LAB_kontanthj_13_Q15,LAB,kontanthj,13_Q15,Kontanthjælp (underhold/forsørgelse) — 15/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 15/100 kvantil,,,Cash assistance (subsistence/support) — 15/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,123601,113402,0.01256,,
LAB_kontanthj_13_Q2,LAB,kontanthj,13_Q2,Kontanthjælp (underhold/forsørgelse) — 2/100 kvantil,Kontanthjælp (underhold/forsørgelse) — 2/100 kvantil,,,Cash assistance (subsistence/support) — 2/100 quantile,,,dst_times_kontanthj_13,generated:quantile_percentile,high,english,,,46396,40375,0.004472,,
