code,prefix,database,value,description,source,confidence,language
EDU_udd_1523,EDU,udd,1523,"2. år, realkursus 2-årigt",pt_dictionaries,highest,danish
EDU_udd_153,EDU,udd,153,Naturvidenskabuna - udvekslingstud. (ml.lang vidg.),pt_dictionaries,highest,danish
EDU_udd_1531,EDU,udd,1531,1. hf,pt_dictionaries,highest,danish
EDU_udd_1532,EDU,udd,1532,2. hf,pt_dictionaries,highest,danish
EDU_udd_1533,EDU,udd,1533,3. hf.,pt_dictionaries,highest,danish
EDU_udd_1535,EDU,udd,1535,1. hf (3-årig),pt_dictionaries,highest,danish
EDU_udd_1536,EDU,udd,1536,2. hf (3-årig),pt_dictionaries,highest,danish
EDU_udd_1537,EDU,udd,1537,3. hf,pt_dictionaries,highest,danish
EDU_udd_1539,EDU,udd,1539,Hf,pt_dictionaries,highest,danish
EDU_udd_154,EDU,udd,154,Samfundsvidensk.una - udvekslingstud. (ml.lang vidg.),pt_dictionaries,highest,danish
EDU_udd_1540,EDU,udd,1540,3-årig hf,pt_dictionaries,highest,danish
EDU_udd_1541,EDU,udd,1541,1. hf,pt_dictionaries,highest,danish
EDU_udd_1542,EDU,udd,1542,2. hf,pt_dictionaries,highest,danish
EDU_udd_1543,EDU,udd,1543,2-årig hf,pt_dictionaries,highest,danish
EDU_udd_1549,EDU,udd,1549,Hf-enkeltfag,pt_dictionaries,highest,danish
EDU_udd_155,EDU,udd,155,Teknisk una - udvekslingstud. (ml.lang vidg.),pt_dictionaries,highest,danish
EDU_udd_1551,EDU,udd,1551,"1. år, studenterkursus matematik-fysik",pt_dictionaries,highest,danish
EDU_udd_1552,EDU,udd,1552,"1. år, studenterkursus matematik-naturfag",pt_dictionaries,highest,danish
EDU_udd_1553,EDU,udd,1553,"1. år, studenterkursus matematik-samfundsfag",pt_dictionaries,highest,danish
EDU_udd_1555,EDU,udd,1555,"1. år, studenterkursus matematik-forsøg",pt_dictionaries,highest,danish
EDU_udd_1559,EDU,udd,1559,"1. år, studenterkursus matematik",pt_dictionaries,highest,danish
EDU_udd_156,EDU,udd,156,Levnedsm./ernæring una - udvekslingstud. (ml.lang vidg.),pt_dictionaries,highest,danish
EDU_udd_1561,EDU,udd,1561,"1. år, studenterkursus nysproglig",pt_dictionaries,highest,danish
EDU_udd_1562,EDU,udd,1562,"1. år, studenterkursus sproglig",pt_dictionaries,highest,danish
EDU_udd_1563,EDU,udd,1563,"1. år, studenterkursus samfundsfag-sproglig",pt_dictionaries,highest,danish
EDU_udd_1565,EDU,udd,1565,"1. år, studenterkursus sproglig-forsøg",pt_dictionaries,highest,danish
EDU_udd_1569,EDU,udd,1569,"1. år, studenterkursus sproglig",pt_dictionaries,highest,danish
EDU_udd_159,EDU,udd,159,Sundhed una - udvekslingstud. (ml.lang vidg.),pt_dictionaries,highest,danish
EDU_udd_161,EDU,udd,161,Humanistisk una - udvekslingstud. (bachelor),pt_dictionaries,highest,danish
EDU_udd_162,EDU,udd,162,Kunstnerisk una - udvekslingstud. (bachelor),pt_dictionaries,highest,danish
EDU_udd_163,EDU,udd,163,Naturvidenskab una - udvekslingstud. (bachelor),pt_dictionaries,highest,danish
EDU_udd_164,EDU,udd,164,Samfundsvidenskab una - udvekslingstud. (bachelor),pt_dictionaries,highest,danish
EDU_udd_165,EDU,udd,165,Teknisk una- udvekslingstud. (bachelor),pt_dictionaries,highest,danish
EDU_udd_1650,EDU,udd,1650,"1. år, studenterkursus",pt_dictionaries,highest,danish
EDU_udd_1651,EDU,udd,1651,"2. år, studenterkursus",pt_dictionaries,highest,danish
EDU_udd_1652,EDU,udd,1652,Studenterkursus,pt_dictionaries,highest,danish
EDU_udd_167,EDU,udd,167,Jordbrugsvidenskab una - udvekslingstud. (bachelor),pt_dictionaries,highest,danish
EDU_udd_1671,EDU,udd,1671,"2. år, studenterkursus matematik-fysik",pt_dictionaries,highest,danish
