code,prefix,database,value,description,description_da,description_en,source,confidence,language,parent_code,hierarchy_level
EDU_audd_6043,EDU,audd,6043,"Journalistik, cand.comm.","Journalistik, cand.comm.",,CSV:EDU_audd,medium,danish,,
EDU_audd_4736,EDU,audd,4736,Medieproduktion,Medieproduktion,,CSV:EDU_audd,medium,danish,,
EDU_audd_4733,EDU,audd,4733,"Dyr, planter og natur","Dyr, planter og natur",,CSV:EDU_audd,medium,danish,,
EDU_audd_3303,EDU,audd,3303,Havecentergartner,Havecentergartner,,CSV:EDU_audd,medium,danish,,
EDU_audd_5081,EDU,audd,5081,"1. år, htx","1. år, htx",,CSV:EDU_audd,medium,danish,,
EDU_audd_5088,EDU,audd,5088,"2. år, htx","2. år, htx",,CSV:EDU_audd,medium,danish,,
EDU_audd_5097,EDU,audd,5097,"3. år, htx","3. år, htx",,CSV:EDU_audd,medium,danish,,
EDU_audd_7512,EDU,audd,7512,"Sundhedsteknologi, ing.prof.bach.","Sundhedsteknologi, ing.prof.bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_8312,EDU,audd,8312,"Biomedicinsk teknologi, cand.polyt.","Biomedicinsk teknologi, cand.polyt.",,CSV:EDU_audd,medium,danish,,
EDU_audd_3195,EDU,audd,3195,"Økonomistyring, prof.bach.","Økonomistyring, prof.bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_4966,EDU,audd,4966,"Handelsassistent, service","Handelsassistent, service",,CSV:EDU_audd,medium,danish,,
EDU_audd_5950,EDU,audd,5950,"Erhvervssprog, bach.","Erhvervssprog, bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_3004,EDU,audd,3004,"Internat. virksomhedskomm., Amerikanske studier, cand.ling.merc.","Internat. virksomhedskomm., Amerikanske studier, cand.ling.merc.",,CSV:EDU_audd,medium,danish,,
EDU_audd_5198,EDU,audd,5198,Polititjenestemand,Polititjenestemand,,CSV:EDU_audd,medium,danish,,
EDU_audd_7103,EDU,audd,7103,"Statskundskab, bach.","Statskundskab, bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_7102,EDU,audd,7102,"Statskundskab, cand.scient.pol.","Statskundskab, cand.scient.pol.",,CSV:EDU_audd,medium,danish,,
EDU_audd_4922,EDU,audd,4922,"Detail, materialhandel","Detail, materialhandel",,CSV:EDU_audd,medium,danish,,
EDU_audd_5702,EDU,audd,5702,"HA kommunikation, bach.","HA kommunikation, bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_5734,EDU,audd,5734,"Business Administration and Sociology, bach.","Business Administration and Sociology, bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_812,EDU,audd,812,Faglærer i idræt (privat udd.),Faglærer i idræt (privat udd.),,CSV:EDU_audd,medium,danish,,
EDU_audd_4984,EDU,audd,4984,"Kontor, offentlig administration","Kontor, offentlig administration",,CSV:EDU_audd,medium,danish,,
EDU_audd_5122,EDU,audd,5122,Handelsøkonom,Handelsøkonom,,CSV:EDU_audd,medium,danish,,
EDU_audd_6179,EDU,audd,6179,"Communication Studies, cand.comm.","Communication Studies, cand.comm.",,CSV:EDU_audd,medium,danish,,
EDU_audd_5733,EDU,audd,5733,"Interkulturel markedskommunikation, bach.","Interkulturel markedskommunikation, bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_7630,EDU,audd,7630,"Pædagogisk sociologi, cand.pæd.","Pædagogisk sociologi, cand.pæd.",,CSV:EDU_audd,medium,danish,,
EDU_audd_5270,EDU,audd,5270,"Kemiteknologi, ing.prof.bach.","Kemiteknologi, ing.prof.bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_5488,EDU,audd,5488,"Webudvikling (overbygning), prof.bach.","Webudvikling (overbygning), prof.bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_5299,EDU,audd,5299,Adgangseksamen til ingeniøruddannelsen,Adgangseksamen til ingeniøruddannelsen,,CSV:EDU_audd,medium,danish,,
EDU_audd_4293,EDU,audd,4293,Vvs- og energispecialist,Vvs- og energispecialist,,CSV:EDU_audd,medium,danish,,
EDU_audd_4306,EDU,audd,4306,"Teknisk designer, industriel produktion","Teknisk designer, industriel produktion",,CSV:EDU_audd,medium,danish,,
EDU_audd_7931,EDU,audd,7931,"Maskin - industri/produktion, ing.bach.","Maskin - industri/produktion, ing.bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_8020,EDU,audd,8020,"Mathematical Modelling and Computation, cand.polyt.","Mathematical Modelling and Computation, cand.polyt.",,CSV:EDU_audd,medium,danish,,
EDU_audd_1111,EDU,audd,1111,11. klasse,11. klasse,,CSV:EDU_audd,medium,danish,,
EDU_audd_5144,EDU,audd,5144,"Social og sundhed, grundforløb","Social og sundhed, grundforløb",,CSV:EDU_audd,medium,danish,,
EDU_audd_2425,EDU,audd,2425,Særlig tilrettelagt ungdomsuddannelse (STU),Særlig tilrettelagt ungdomsuddannelse (STU),,CSV:EDU_audd,medium,danish,,
EDU_audd_7432,EDU,audd,7432,"Jura, bach.","Jura, bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_7085,EDU,audd,7085,"Jura, cand.jur.","Jura, cand.jur.",,CSV:EDU_audd,medium,danish,,
EDU_audd_4938,EDU,audd,4938,"Detail, salgsassistent","Detail, salgsassistent",,CSV:EDU_audd,medium,danish,,
EDU_audd_3800,EDU,audd,3800,Financial controller,Financial controller,,CSV:EDU_audd,medium,danish,,
EDU_audd_4978,EDU,audd,4978,"Kontor, administration","Kontor, administration",,CSV:EDU_audd,medium,danish,,
EDU_audd_7523,EDU,audd,7523,"HA(jur.) erhvervsøkonomi-jura, bach.","HA(jur.) erhvervsøkonomi-jura, bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_7541,EDU,audd,7541,"Moderne Indien og Sydasienstudier, bach.","Moderne Indien og Sydasienstudier, bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_7107,EDU,audd,7107,"International Security and Law, cand.soc.","International Security and Law, cand.soc.",,CSV:EDU_audd,medium,danish,,
EDU_audd_2459,EDU,audd,2459,Landmand faglært modul 1a,Landmand faglært modul 1a,,CSV:EDU_audd,medium,danish,,
EDU_audd_2460,EDU,audd,2460,Landmand faglært modul 1b,Landmand faglært modul 1b,,CSV:EDU_audd,medium,danish,,
