code,prefix,database,value,description,source,confidence,language
LAB_nace_182390,LAB,nace,182390,NACE industry code: 182390,enhanced_english,medium,english
LAB_nace_182410,LAB,nace,182410,NACE industry code: 182410,enhanced_english,medium,english
LAB_nace_182490,LAB,nace,182490,NACE industry code: 182490,enhanced_english,medium,english
LAB_nace_183000,LAB,nace,183000,NACE industry code: 183000,enhanced_english,medium,english
LAB_nace_191000,LAB,nace,191000,NACE industry code: 191000,enhanced_english,medium,english
LAB_nace_192000,LAB,nace,192000,NACE industry code: 192000,enhanced_english,medium,english
LAB_nace_193010,LAB,nace,193010,NACE industry code: 193010,enhanced_english,medium,english
LAB_nace_193020,LAB,nace,193020,NACE industry code: 193020,enhanced_english,medium,english
LAB_nace_20100,LAB,nace,20100,NACE industry code: 20100,enhanced_english,medium,english
LAB_nace_201010,LAB,nace,201010,NACE industry code: 201010,enhanced_english,medium,english
LAB_nace_201020,LAB,nace,201020,NACE industry code: 201020,enhanced_english,medium,english
LAB_nace_20200,LAB,nace,20200,NACE industry code: 20200,enhanced_english,medium,english
LAB_nace_202000,LAB,nace,202000,NACE industry code: 202000,enhanced_english,medium,english
LAB_nace_203010,LAB,nace,203010,NACE industry code: 203010,enhanced_english,medium,english
LAB_nace_203020,LAB,nace,203020,NACE industry code: 203020,enhanced_english,medium,english
LAB_nace_203030,LAB,nace,203030,NACE industry code: 203030,enhanced_english,medium,english
LAB_nace_204000,LAB,nace,204000,NACE industry code: 204000,enhanced_english,medium,english
LAB_nace_205110,LAB,nace,205110,NACE industry code: 205110,enhanced_english,medium,english
LAB_nace_205120,LAB,nace,205120,NACE industry code: 205120,enhanced_english,medium,english
LAB_nace_205190,LAB,nace,205190,NACE industry code: 205190,enhanced_english,medium,english
LAB_nace_205200,LAB,nace,205200,NACE industry code: 205200,enhanced_english,medium,english
LAB_nace_211100,LAB,nace,211100,NACE industry code: 211100,enhanced_english,medium,english
LAB_nace_211200,LAB,nace,211200,NACE industry code: 211200,enhanced_english,medium,english
LAB_nace_212100,LAB,nace,212100,NACE industry code: 212100,enhanced_english,medium,english
LAB_nace_212200,LAB,nace,212200,NACE industry code: 212200,enhanced_english,medium,english
LAB_nace_212300,LAB,nace,212300,NACE industry code: 212300,enhanced_english,medium,english
LAB_nace_212310,LAB,nace,212310,NACE industry code: 212310,enhanced_english,medium,english
LAB_nace_212390,LAB,nace,212390,NACE industry code: 212390,enhanced_english,medium,english
LAB_nace_212400,LAB,nace,212400,NACE industry code: 212400,enhanced_english,medium,english
LAB_nace_212500,LAB,nace,212500,NACE industry code: 212500,enhanced_english,medium,english
LAB_nace_221110,LAB,nace,221110,NACE industry code: 221110,enhanced_english,medium,english
LAB_nace_221120,LAB,nace,221120,NACE industry code: 221120,enhanced_english,medium,english
LAB_nace_221210,LAB,nace,221210,NACE industry code: 221210,enhanced_english,medium,english
LAB_nace_221220,LAB,nace,221220,NACE industry code: 221220,enhanced_english,medium,english
LAB_nace_221310,LAB,nace,221310,NACE industry code: 221310,enhanced_english,medium,english
LAB_nace_221320,LAB,nace,221320,NACE industry code: 221320,enhanced_english,medium,english
LAB_nace_221330,LAB,nace,221330,NACE industry code: 221330,enhanced_english,medium,english
LAB_nace_221340,LAB,nace,221340,NACE industry code: 221340,enhanced_english,medium,english
LAB_nace_221400,LAB,nace,221400,NACE industry code: 221400,enhanced_english,medium,english
LAB_nace_221500,LAB,nace,221500,NACE industry code: 221500,enhanced_english,medium,english
LAB_nace_222100,LAB,nace,222100,NACE industry code: 222100,enhanced_english,medium,english
LAB_nace_222210,LAB,nace,222210,NACE industry code: 222210,enhanced_english,medium,english
LAB_nace_222220,LAB,nace,222220,NACE industry code: 222220,enhanced_english,medium,english
LAB_nace_222230,LAB,nace,222230,NACE industry code: 222230,enhanced_english,medium,english
LAB_nace_222290,LAB,nace,222290,NACE industry code: 222290,enhanced_english,medium,english
LAB_nace_222300,LAB,nace,222300,NACE industry code: 222300,enhanced_english,medium,english
LAB_nace_222400,LAB,nace,222400,NACE industry code: 222400,enhanced_english,medium,english
LAB_nace_222410,LAB,nace,222410,NACE industry code: 222410,enhanced_english,medium,english
LAB_nace_222420,LAB,nace,222420,NACE industry code: 222420,enhanced_english,medium,english
LAB_nace_222500,LAB,nace,222500,NACE industry code: 222500,enhanced_english,medium,english
LAB_nace_223100,LAB,nace,223100,NACE industry code: 223100,enhanced_english,medium,english
LAB_nace_223200,LAB,nace,223200,NACE industry code: 223200,enhanced_english,medium,english
LAB_nace_223300,LAB,nace,223300,NACE industry code: 223300,enhanced_english,medium,english
LAB_nace_232000,LAB,nace,232000,NACE industry code: 232000,enhanced_english,medium,english
LAB_nace_241100,LAB,nace,241100,NACE industry code: 241100,enhanced_english,medium,english
LAB_nace_241200,LAB,nace,241200,NACE industry code: 241200,enhanced_english,medium,english
LAB_nace_241300,LAB,nace,241300,NACE industry code: 241300,enhanced_english,medium,english
LAB_nace_241400,LAB,nace,241400,NACE industry code: 241400,enhanced_english,medium,english
LAB_nace_241500,LAB,nace,241500,NACE industry code: 241500,enhanced_english,medium,english
LAB_nace_241600,LAB,nace,241600,NACE industry code: 241600,enhanced_english,medium,english
LAB_nace_242000,LAB,nace,242000,NACE industry code: 242000,enhanced_english,medium,english
LAB_nace_243000,LAB,nace,243000,NACE industry code: 243000,enhanced_english,medium,english
LAB_nace_244100,LAB,nace,244100,NACE industry code: 244100,enhanced_english,medium,english
LAB_nace_244200,LAB,nace,244200,NACE industry code: 244200,enhanced_english,medium,english
LAB_nace_245110,LAB,nace,245110,NACE industry code: 245110,enhanced_english,medium,english
LAB_nace_245120,LAB,nace,245120,NACE industry code: 245120,enhanced_english,medium,english
LAB_nace_245200,LAB,nace,245200,NACE industry code: 245200,enhanced_english,medium,english
LAB_nace_246100,LAB,nace,246100,NACE industry code: 246100,enhanced_english,medium,english
LAB_nace_246200,LAB,nace,246200,NACE industry code: 246200,enhanced_english,medium,english
LAB_nace_246300,LAB,nace,246300,NACE industry code: 246300,enhanced_english,medium,english
LAB_nace_246400,LAB,nace,246400,NACE industry code: 246400,enhanced_english,medium,english
LAB_nace_246500,LAB,nace,246500,NACE industry code: 246500,enhanced_english,medium,english
LAB_nace_246600,LAB,nace,246600,NACE industry code: 246600,enhanced_english,medium,english
LAB_nace_247000,LAB,nace,247000,NACE industry code: 247000,enhanced_english,medium,english
LAB_nace_251100,LAB,nace,251100,NACE industry code: 251100,enhanced_english,medium,english
LAB_nace_251200,LAB,nace,251200,NACE industry code: 251200,enhanced_english,medium,english
LAB_nace_251300,LAB,nace,251300,NACE industry code: 251300,enhanced_english,medium,english
LAB_nace_252110,LAB,nace,252110,NACE industry code: 252110,enhanced_english,medium,english
LAB_nace_252120,LAB,nace,252120,NACE industry code: 252120,enhanced_english,medium,english
LAB_nace_252130,LAB,nace,252130,NACE industry code: 252130,enhanced_english,medium,english
LAB_nace_252200,LAB,nace,252200,NACE industry code: 252200,enhanced_english,medium,english
LAB_nace_252310,LAB,nace,252310,NACE industry code: 252310,enhanced_english,medium,english
LAB_nace_252390,LAB,nace,252390,NACE industry code: 252390,enhanced_english,medium,english
LAB_nace_252410,LAB,nace,252410,NACE industry code: 252410,enhanced_english,medium,english
LAB_nace_252420,LAB,nace,252420,NACE industry code: 252420,enhanced_english,medium,english
LAB_nace_252490,LAB,nace,252490,NACE industry code: 252490,enhanced_english,medium,english
LAB_nace_261100,LAB,nace,261100,NACE industry code: 261100,enhanced_english,medium,english
