code,prefix,database,value,description,description_da,description_en,source,confidence,language,parent_code,hierarchy_level
LAB_db07_620200,LAB,db07,620200,"Computerprogrammering, konsulentbistand vedrørende informationsteknologi og lignende aktiviteter (via 620)","Computerprogrammering, konsulentbistand vedrørende informationsteknologi og lignende aktiviteter (via 620)",,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_62020,detail
LAB_db07_469000,LAB,db07,469000,Ikke-specialiseret engroshandel (via 469),Ikke-specialiseret engroshandel (via 469),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_46900,detail
LAB_db07_222100,LAB,db07,222100,Fremstilling af plastprodukter (via 222),Fremstilling af plastprodukter (via 222),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_22210,detail
LAB_db07_910200,LAB,db07,910200,"Biblioteker, arkiver, museer og anden kulturel virksomhed (via 910)","Biblioteker, arkiver, museer og anden kulturel virksomhed (via 910)",,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_91020,detail
LAB_db07_721900,LAB,db07,721900,Forskning og eksperimentel udvikling indenfor naturvidenskab og teknik (via 721),Forskning og eksperimentel udvikling indenfor naturvidenskab og teknik (via 721),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_72190,detail
LAB_db07_854200,LAB,db07,854200,Videregående uddannelsesinstitutioner (via 854),Videregående uddannelsesinstitutioner (via 854),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_85420,detail
LAB_db07_551010,LAB,db07,551010,Hoteller og lignende overnatningsfaciliteter (via 551),Hoteller og lignende overnatningsfaciliteter (via 551),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_55101,detail
LAB_db07_239910,LAB,db07,239910,Fremstilling af slibemidler og ikke-metalholdige mineralske produkter i.a.n. (via 239),Fremstilling af slibemidler og ikke-metalholdige mineralske produkter i.a.n. (via 239),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_23991,detail
LAB_db07_889130,LAB,db07,889130,Andre sociale foranstaltninger uden institutionsophold (via 889),Andre sociale foranstaltninger uden institutionsophold (via 889),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_88913,detail
LAB_db07_853120,LAB,db07,853120,Gymnasier og erhvervsfaglige skoler (via 853),Gymnasier og erhvervsfaglige skoler (via 853),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_85312,detail
LAB_db07_873020,LAB,db07,873020,Institutionsophold for ældre og handicappede (via 873),Institutionsophold for ældre og handicappede (via 873),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_87302,detail
LAB_db07_682030,LAB,db07,682030,Udlejning af og virksomhed i forbindelse med egen eller leaset fast ejendom (via 682),Udlejning af og virksomhed i forbindelse med egen eller leaset fast ejendom (via 682),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_68203,detail
LAB_db07_931200,LAB,db07,931200,Sport (via 931),Sport (via 931),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_93120,detail
