code,prefix,database,value,description,source,confidence,language
EDU_course_Spansk begyndersprog,EDU,course,Spansk begyndersprog,Course name: Spansk begyndersprog,enhanced_english,medium,english
EDU_course_Spansk fortsættersprog,EDU,course,Spansk fortsættersprog,Course name: Spansk fortsættersprog,enhanced_english,medium,english
EDU_course_Statik og styrkelære,EDU,course,Statik og styrkelære,Course name: Statik og styrkelære,enhanced_english,medium,english
EDU_course_Statistik,EDU,course,Statistik,Course name: Statistik,enhanced_english,medium,english
EDU_course_Studieområde,EDU,course,Studieområde,Course name: Studieområde,enhanced_english,medium,english
EDU_course_Studieområde - det internationale område,EDU,course,Studieområde - det internationale område,Course name: Studieområde - det internationale område,enhanced_english,medium,english
EDU_course_Studieområde - erhvervscase,EDU,course,Studieområde - erhvervscase,Course name: Studieområde - erhvervscase,enhanced_english,medium,english
EDU_course_Studieområde del 1,EDU,course,Studieområde del 1,Course name: Studieområde del 1,enhanced_english,medium,english
EDU_course_Studieområdeprojekt,EDU,course,Studieområdeprojekt,Course name: Studieområdeprojekt,enhanced_english,medium,english
EDU_course_Studieområdet del 2,EDU,course,Studieområdet del 2,Course name: Studieområdet del 2,enhanced_english,medium,english
EDU_course_Studieretningsopgave,EDU,course,Studieretningsopgave,Course name: Studieretningsopgave,enhanced_english,medium,english
EDU_course_Studieretningsprojekt,EDU,course,Studieretningsprojekt,Course name: Studieretningsprojekt,enhanced_english,medium,english
EDU_course_Større skriftlig opgave,EDU,course,Større skriftlig opgave,Course name: Større skriftlig opgave,enhanced_english,medium,english
EDU_course_Sundhed og sociale forhold,EDU,course,Sundhed og sociale forhold,Course name: Sundhed og sociale forhold,enhanced_english,medium,english
EDU_course_Teater,EDU,course,Teater,Course name: Teater,enhanced_english,medium,english
EDU_course_Teknikfag,EDU,course,Teknikfag,Course name: Teknikfag,enhanced_english,medium,english
EDU_course_Teknikfag - byggeri og energi,EDU,course,Teknikfag - byggeri og energi,Course name: Teknikfag - byggeri og energi,enhanced_english,medium,english
EDU_course_Teknikfag - design og produktion,EDU,course,Teknikfag - design og produktion,Course name: Teknikfag - design og produktion,enhanced_english,medium,english
EDU_course_Teknikfag - digitalt design og udvikling,EDU,course,Teknikfag - digitalt design og udvikling,Course name: Teknikfag - digitalt design og udvikling,enhanced_english,medium,english
EDU_course_Teknikfag - proces levnedsmiddel og sundhed,EDU,course,Teknikfag - proces levnedsmiddel og sundhed,Course name: Teknikfag - proces levnedsmiddel og sundhed,enhanced_english,medium,english
EDU_course_Teknikfag - udvikling og produktion,EDU,course,Teknikfag - udvikling og produktion,Course name: Teknikfag - udvikling og produktion,enhanced_english,medium,english
"EDU_course_Teknikfag byggeri og energi, el",EDU,course,"Teknikfag byggeri og energi, el","Course name: Teknikfag byggeri og energi, el",enhanced_english,medium,english
EDU_course_Teknologi,EDU,course,Teknologi,Course name: Teknologi,enhanced_english,medium,english
EDU_course_Teknologihistorie,EDU,course,Teknologihistorie,Course name: Teknologihistorie,enhanced_english,medium,english
EDU_course_Tyrkisk begyndersprog,EDU,course,Tyrkisk begyndersprog,Course name: Tyrkisk begyndersprog,enhanced_english,medium,english
EDU_course_Tysk,EDU,course,Tysk,Course name: Tysk,enhanced_english,medium,english
EDU_course_Tysk 2. fremmedsprog,EDU,course,Tysk 2. fremmedsprog,Course name: Tysk 2. fremmedsprog,enhanced_english,medium,english
EDU_course_Tysk 3. fremmedsprog,EDU,course,Tysk 3. fremmedsprog,Course name: Tysk 3. fremmedsprog,enhanced_english,medium,english
EDU_course_Tysk begyndersprog,EDU,course,Tysk begyndersprog,Course name: Tysk begyndersprog,enhanced_english,medium,english
EDU_course_Tysk fortsættersprog,EDU,course,Tysk fortsættersprog,Course name: Tysk fortsættersprog,enhanced_english,medium,english
EDU_course_Verdenslitteratur,EDU,course,Verdenslitteratur,Course name: Verdenslitteratur,enhanced_english,medium,english
EDU_course_Virksomhedsinformation,EDU,course,Virksomhedsinformation,Course name: Virksomhedsinformation,enhanced_english,medium,english
EDU_course_Virksomhedsøkonomi,EDU,course,Virksomhedsøkonomi,Course name: Virksomhedsøkonomi,enhanced_english,medium,english
EDU_course_level_-,EDU,course,level_-,Course name: level_-,enhanced_english,medium,english
EDU_course_level_A,EDU,course,level_A,Course name: level_A,enhanced_english,medium,english
EDU_course_level_B,EDU,course,level_B,Course name: level_B,enhanced_english,medium,english
EDU_course_level_C,EDU,course,level_C,Course name: level_C,enhanced_english,medium,english
EDU_course_Økonomisk grundforløb,EDU,course,Økonomisk grundforløb,Course name: Økonomisk grundforløb,enhanced_english,medium,english
