code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
LAB_lejev_egen_bolig_Q63,LAB,lejev,egen_bolig_Q63,Beregnet lejeværdi af egen bolig — 63/100 kvantil,Beregnet lejeværdi af egen bolig — 63/100 kvantil,,,Imputed rental value of own dwelling — 63/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q64,LAB,lejev,egen_bolig_Q64,Beregnet lejeværdi af egen bolig — 64/100 kvantil,Beregnet lejeværdi af egen bolig — 64/100 kvantil,,,Imputed rental value of own dwelling — 64/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q55,LAB,lejev,egen_bolig_Q55,Beregnet lejeværdi af egen bolig — 55/100 kvantil,Beregnet lejeværdi af egen bolig — 55/100 kvantil,,,Imputed rental value of own dwelling — 55/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q65,LAB,lejev,egen_bolig_Q65,Beregnet lejeværdi af egen bolig — 65/100 kvantil,Beregnet lejeværdi af egen bolig — 65/100 kvantil,,,Imputed rental value of own dwelling — 65/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q48,LAB,lejev,egen_bolig_Q48,Beregnet lejeværdi af egen bolig — 48/100 kvantil,Beregnet lejeværdi af egen bolig — 48/100 kvantil,,,Imputed rental value of own dwelling — 48/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q25,LAB,lejev,egen_bolig_Q25,Beregnet lejeværdi af egen bolig — 25/100 kvantil,Beregnet lejeværdi af egen bolig — 25/100 kvantil,,,Imputed rental value of own dwelling — 25/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q15,LAB,lejev,egen_bolig_Q15,Beregnet lejeværdi af egen bolig — 15/100 kvantil,Beregnet lejeværdi af egen bolig — 15/100 kvantil,,,Imputed rental value of own dwelling — 15/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q23,LAB,lejev,egen_bolig_Q23,Beregnet lejeværdi af egen bolig — 23/100 kvantil,Beregnet lejeværdi af egen bolig — 23/100 kvantil,,,Imputed rental value of own dwelling — 23/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q73,LAB,lejev,egen_bolig_Q73,Beregnet lejeværdi af egen bolig — 73/100 kvantil,Beregnet lejeværdi af egen bolig — 73/100 kvantil,,,Imputed rental value of own dwelling — 73/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q40,LAB,lejev,egen_bolig_Q40,Beregnet lejeværdi af egen bolig — 40/100 kvantil,Beregnet lejeværdi af egen bolig — 40/100 kvantil,,,Imputed rental value of own dwelling — 40/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q39,LAB,lejev,egen_bolig_Q39,Beregnet lejeværdi af egen bolig — 39/100 kvantil,Beregnet lejeværdi af egen bolig — 39/100 kvantil,,,Imputed rental value of own dwelling — 39/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q50,LAB,lejev,egen_bolig_Q50,Beregnet lejeværdi af egen bolig — 50/100 kvantil,Beregnet lejeværdi af egen bolig — 50/100 kvantil,,,Imputed rental value of own dwelling — 50/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q81,LAB,lejev,egen_bolig_Q81,Beregnet lejeværdi af egen bolig — 81/100 kvantil,Beregnet lejeværdi af egen bolig — 81/100 kvantil,,,Imputed rental value of own dwelling — 81/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q26,LAB,lejev,egen_bolig_Q26,Beregnet lejeværdi af egen bolig — 26/100 kvantil,Beregnet lejeværdi af egen bolig — 26/100 kvantil,,,Imputed rental value of own dwelling — 26/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q10,LAB,lejev,egen_bolig_Q10,Beregnet lejeværdi af egen bolig — 10/100 kvantil,Beregnet lejeværdi af egen bolig — 10/100 kvantil,,,Imputed rental value of own dwelling — 10/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q37,LAB,lejev,egen_bolig_Q37,Beregnet lejeværdi af egen bolig — 37/100 kvantil,Beregnet lejeværdi af egen bolig — 37/100 kvantil,,,Imputed rental value of own dwelling — 37/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q44,LAB,lejev,egen_bolig_Q44,Beregnet lejeværdi af egen bolig — 44/100 kvantil,Beregnet lejeværdi af egen bolig — 44/100 kvantil,,,Imputed rental value of own dwelling — 44/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q56,LAB,lejev,egen_bolig_Q56,Beregnet lejeværdi af egen bolig — 56/100 kvantil,Beregnet lejeværdi af egen bolig — 56/100 kvantil,,,Imputed rental value of own dwelling — 56/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q22,LAB,lejev,egen_bolig_Q22,Beregnet lejeværdi af egen bolig — 22/100 kvantil,Beregnet lejeværdi af egen bolig — 22/100 kvantil,,,Imputed rental value of own dwelling — 22/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q70,LAB,lejev,egen_bolig_Q70,Beregnet lejeværdi af egen bolig — 70/100 kvantil,Beregnet lejeværdi af egen bolig — 70/100 kvantil,,,Imputed rental value of own dwelling — 70/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q61,LAB,lejev,egen_bolig_Q61,Beregnet lejeværdi af egen bolig — 61/100 kvantil,Beregnet lejeværdi af egen bolig — 61/100 kvantil,,,Imputed rental value of own dwelling — 61/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q38,LAB,lejev,egen_bolig_Q38,Beregnet lejeværdi af egen bolig — 38/100 kvantil,Beregnet lejeværdi af egen bolig — 38/100 kvantil,,,Imputed rental value of own dwelling — 38/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
LAB_lejev_egen_bolig_Q3,LAB,lejev,egen_bolig_Q3,Beregnet lejeværdi af egen bolig — 3/100 kvantil,Beregnet lejeværdi af egen bolig — 3/100 kvantil,,,Imputed rental value of own dwelling — 3/100 quantile,,,dst_times_lejev_egen_bolig,generated:quantile_percentile,high,english,,
