code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
DEM_statsb_5122,DEM,statsb,5122,Albanien,Albanien,,,Albania,Albania,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5282,DEM,statsb,5282,Elfenbenskysten,Elfenbenskysten,,,Ivory Coast,Ivory Coast,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5759,DEM,statsb,5759,Montenegro,Montenegro,,,Montenegro,Montenegro,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5108,DEM,statsb,5108,Luxembourg,Luxembourg,,,Luxembourg,Luxembourg,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5422,DEM,statsb,5422,Cypern,Cypern,,,Cyprus,Cyprus,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5246,DEM,statsb,5246,Nigeria,Nigeria,,,Nigeria,Nigeria,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5761,DEM,statsb,5761,Kosovo,Kosovo,,,Kosovo,,,copy-of-da,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5466,DEM,statsb,5466,Nordkorea,Nordkorea,,,North Korea,North Korea,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5408,DEM,statsb,5408,Bhutan,Bhutan,,,Bhutan,Bhutan,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5720,DEM,statsb,5720,Kirgisistan,Kirgisistan,,,Kyrgyzstan,Kyrgyzstan,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5279,DEM,statsb,5279,"Congo, Republikken","Congo, Republikken",,,"Congo, Republikken",,,copy-of-da,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5162,DEM,statsb,5162,Sovjetunionen,Sovjetunionen,,,Soviet Union,Soviet Union,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5487,DEM,statsb,5487,Mellemøsten uoplyst,Mellemøsten uoplyst,,,Middle East unknown,,,translated,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5712,DEM,statsb,5712,Moldova,Moldova,,,Moldova,Moldova,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5322,DEM,statsb,5322,Costa Rica,Costa Rica,,,Costa Rica,Costa Rica,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5374,DEM,statsb,5374,Trinidad og Tobago,Trinidad og Tobago,,,Trinidad and Tobago,Trinidad and Tobago,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5296,DEM,statsb,5296,Zambia,Zambia,,,Zambia,Zambia,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5358,DEM,statsb,5358,Panama,Panama,,,Panama,Panama,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5372,DEM,statsb,5372,El Salvador,El Salvador,,,El Salvador,El Salvador,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5352,DEM,statsb,5352,Jamaica,Jamaica,,,Jamaica,Jamaica,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5231,DEM,statsb,5231,Guinea-Bissau,Guinea-Bissau,,,Guinea-Bissau,Guinea-Bissau,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5245,DEM,statsb,5245,Mauritius,Mauritius,,,Mauritius,Mauritius,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5238,DEM,statsb,5238,Libyen,Libyen,,,Libya,Libya,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5294,DEM,statsb,5294,Burkina Faso,Burkina Faso,,,Burkina Faso,Burkina Faso,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5397,DEM,statsb,5397,Nordamerika uoplyst,Nordamerika uoplyst,,,Nordamerika uoplyst,,,copy-of-da,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5129,DEM,statsb,5129,Tjekkoslovakiet,Tjekkoslovakiet,,,Czechoslovakia,Czechoslovakia,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5299,DEM,statsb,5299,Afrika uoplyst,Afrika uoplyst,,,Afrika uoplyst,,,copy-of-da,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5259,DEM,statsb,5259,Eswatini,Eswatini,,,Eswatini,Eswatini,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5454,DEM,statsb,5454,Laos,Laos,,,Laos,Laos,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5242,DEM,statsb,5242,Madagaskar,Madagaskar,,,Madagascar,Madagascar,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5308,DEM,statsb,5308,Guyana,Guyana,,,Guyana,Guyana,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5416,DEM,statsb,5416,Cambodja,Cambodja,,,Cambodia,Cambodia,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5406,DEM,statsb,5406,Bahrain,Bahrain,,,Bahrain,Bahrain,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5001,DEM,statsb,5001,Uoplyst (2),Uoplyst (2),,,Unknown (2),,,translated,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5522,DEM,statsb,5522,Samoa,Samoa,,,Samoa,Samoa,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5508,DEM,statsb,5508,Fiji,Fiji,,,Fiji,Fiji,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5348,DEM,statsb,5348,Honduras,Honduras,,,Honduras,Honduras,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5452,DEM,statsb,5452,Kuwait,Kuwait,,,Kuwait,Kuwait,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5297,DEM,statsb,5297,Malawi,Malawi,,,Malawi,Malawi,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5356,DEM,statsb,5356,Nicaragua,Nicaragua,,,Nicaragua,Nicaragua,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5525,DEM,statsb,5525,Djibouti,Djibouti,,,Djibouti,Djibouti,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5284,DEM,statsb,5284,Mauretanien,Mauretanien,,,Mauritania,Mauritania,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5402,DEM,statsb,5402,Yemen,Yemen,,,Yemen,Yemen,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5722,DEM,statsb,5722,Tadsjikistan,Tadsjikistan,,,Tajikistan,Tajikistan,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5505,DEM,statsb,5505,Tonga,Tonga,,,Tonga,Tonga,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5215,DEM,statsb,5215,Comorerne,Comorerne,,,Comorerne,,,copy-of-da,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5499,DEM,statsb,5499,Asien uoplyst,Asien uoplyst,,,Asien uoplyst,,,copy-of-da,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5243,DEM,statsb,5243,Mali,Mali,,,Mali,Mali,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5496,DEM,statsb,5496,Qatar,Qatar,,,Qatar,Qatar,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5342,DEM,statsb,5342,Haiti,Haiti,,,Haiti,Haiti,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5309,DEM,statsb,5309,Antigua og Barbuda,Antigua og Barbuda,,,Antigua and Barbuda,Antigua and Barbuda,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
DEM_statsb_5236,DEM,statsb,5236,Liberia,Liberia,,,Liberia,Liberia,iso3166,iso3166,CSV:DEM_statsb,medium,danish,,
