code,prefix,database,value,description,description_da,description_en,source,confidence,language,parent_code,hierarchy_level
LAB_underhol_Q56,LAB,underhol,Q56,Paid maintenance (deduction in taxable income) - 56/100 quantile,,Paid maintenance (deduction in taxable income) - 56/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q7,LAB,underhol,Q7,Paid maintenance (deduction in taxable income) - 7/100 quantile,,Paid maintenance (deduction in taxable income) - 7/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q57,LAB,underhol,Q57,Paid maintenance (deduction in taxable income) - 57/100 quantile,,Paid maintenance (deduction in taxable income) - 57/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q13,LAB,underhol,Q13,Paid maintenance (deduction in taxable income) - 13/100 quantile,,Paid maintenance (deduction in taxable income) - 13/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q64,LAB,underhol,Q64,Paid maintenance (deduction in taxable income) - 64/100 quantile,,Paid maintenance (deduction in taxable income) - 64/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q5,LAB,underhol,Q5,Paid maintenance (deduction in taxable income) - 5/100 quantile,,Paid maintenance (deduction in taxable income) - 5/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q63,LAB,underhol,Q63,Paid maintenance (deduction in taxable income) - 63/100 quantile,,Paid maintenance (deduction in taxable income) - 63/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q84,LAB,underhol,Q84,Paid maintenance (deduction in taxable income) - 84/100 quantile,,Paid maintenance (deduction in taxable income) - 84/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q46,LAB,underhol,Q46,Paid maintenance (deduction in taxable income) - 46/100 quantile,,Paid maintenance (deduction in taxable income) - 46/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q88,LAB,underhol,Q88,Paid maintenance (deduction in taxable income) - 88/100 quantile,,Paid maintenance (deduction in taxable income) - 88/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q77,LAB,underhol,Q77,Paid maintenance (deduction in taxable income) - 77/100 quantile,,Paid maintenance (deduction in taxable income) - 77/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q31,LAB,underhol,Q31,Paid maintenance (deduction in taxable income) - 31/100 quantile,,Paid maintenance (deduction in taxable income) - 31/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q81,LAB,underhol,Q81,Paid maintenance (deduction in taxable income) - 81/100 quantile,,Paid maintenance (deduction in taxable income) - 81/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q59,LAB,underhol,Q59,Paid maintenance (deduction in taxable income) - 59/100 quantile,,Paid maintenance (deduction in taxable income) - 59/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q67,LAB,underhol,Q67,Paid maintenance (deduction in taxable income) - 67/100 quantile,,Paid maintenance (deduction in taxable income) - 67/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q29,LAB,underhol,Q29,Paid maintenance (deduction in taxable income) - 29/100 quantile,,Paid maintenance (deduction in taxable income) - 29/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q34,LAB,underhol,Q34,Paid maintenance (deduction in taxable income) - 34/100 quantile,,Paid maintenance (deduction in taxable income) - 34/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q32,LAB,underhol,Q32,Paid maintenance (deduction in taxable income) - 32/100 quantile,,Paid maintenance (deduction in taxable income) - 32/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q42,LAB,underhol,Q42,Paid maintenance (deduction in taxable income) - 42/100 quantile,,Paid maintenance (deduction in taxable income) - 42/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q41,LAB,underhol,Q41,Paid maintenance (deduction in taxable income) - 41/100 quantile,,Paid maintenance (deduction in taxable income) - 41/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q16,LAB,underhol,Q16,Paid maintenance (deduction in taxable income) - 16/100 quantile,,Paid maintenance (deduction in taxable income) - 16/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q11,LAB,underhol,Q11,Paid maintenance (deduction in taxable income) - 11/100 quantile,,Paid maintenance (deduction in taxable income) - 11/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q47,LAB,underhol,Q47,Paid maintenance (deduction in taxable income) - 47/100 quantile,,Paid maintenance (deduction in taxable income) - 47/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q66,LAB,underhol,Q66,Paid maintenance (deduction in taxable income) - 66/100 quantile,,Paid maintenance (deduction in taxable income) - 66/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q55,LAB,underhol,Q55,Paid maintenance (deduction in taxable income) - 55/100 quantile,,Paid maintenance (deduction in taxable income) - 55/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q65,LAB,underhol,Q65,Paid maintenance (deduction in taxable income) - 65/100 quantile,,Paid maintenance (deduction in taxable income) - 65/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q74,LAB,underhol,Q74,Paid maintenance (deduction in taxable income) - 74/100 quantile,,Paid maintenance (deduction in taxable income) - 74/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q71,LAB,underhol,Q71,Paid maintenance (deduction in taxable income) - 71/100 quantile,,Paid maintenance (deduction in taxable income) - 71/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q53,LAB,underhol,Q53,Paid maintenance (deduction in taxable income) - 53/100 quantile,,Paid maintenance (deduction in taxable income) - 53/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q12,LAB,underhol,Q12,Paid maintenance (deduction in taxable income) - 12/100 quantile,,Paid maintenance (deduction in taxable income) - 12/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q52,LAB,underhol,Q52,Paid maintenance (deduction in taxable income) - 52/100 quantile,,Paid maintenance (deduction in taxable income) - 52/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q25,LAB,underhol,Q25,Paid maintenance (deduction in taxable income) - 25/100 quantile,,Paid maintenance (deduction in taxable income) - 25/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q87,LAB,underhol,Q87,Paid maintenance (deduction in taxable income) - 87/100 quantile,,Paid maintenance (deduction in taxable income) - 87/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q90,LAB,underhol,Q90,Paid maintenance (deduction in taxable income) - 90/100 quantile,,Paid maintenance (deduction in taxable income) - 90/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q95,LAB,underhol,Q95,Paid maintenance (deduction in taxable income) - 95/100 quantile,,Paid maintenance (deduction in taxable income) - 95/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q22,LAB,underhol,Q22,Paid maintenance (deduction in taxable income) - 22/100 quantile,,Paid maintenance (deduction in taxable income) - 22/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q27,LAB,underhol,Q27,Paid maintenance (deduction in taxable income) - 27/100 quantile,,Paid maintenance (deduction in taxable income) - 27/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q51,LAB,underhol,Q51,Paid maintenance (deduction in taxable income) - 51/100 quantile,,Paid maintenance (deduction in taxable income) - 51/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q91,LAB,underhol,Q91,Paid maintenance (deduction in taxable income) - 91/100 quantile,,Paid maintenance (deduction in taxable income) - 91/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q40,LAB,underhol,Q40,Paid maintenance (deduction in taxable income) - 40/100 quantile,,Paid maintenance (deduction in taxable income) - 40/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q73,LAB,underhol,Q73,Paid maintenance (deduction in taxable income) - 73/100 quantile,,Paid maintenance (deduction in taxable income) - 73/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q28,LAB,underhol,Q28,Paid maintenance (deduction in taxable income) - 28/100 quantile,,Paid maintenance (deduction in taxable income) - 28/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q93,LAB,underhol,Q93,Paid maintenance (deduction in taxable income) - 93/100 quantile,,Paid maintenance (deduction in taxable income) - 93/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q96,LAB,underhol,Q96,Paid maintenance (deduction in taxable income) - 96/100 quantile,,Paid maintenance (deduction in taxable income) - 96/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q72,LAB,underhol,Q72,Paid maintenance (deduction in taxable income) - 72/100 quantile,,Paid maintenance (deduction in taxable income) - 72/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q10,LAB,underhol,Q10,Paid maintenance (deduction in taxable income) - 10/100 quantile,,Paid maintenance (deduction in taxable income) - 10/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q78,LAB,underhol,Q78,Paid maintenance (deduction in taxable income) - 78/100 quantile,,Paid maintenance (deduction in taxable income) - 78/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q3,LAB,underhol,Q3,Paid maintenance (deduction in taxable income) - 3/100 quantile,,Paid maintenance (deduction in taxable income) - 3/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q92,LAB,underhol,Q92,Paid maintenance (deduction in taxable income) - 92/100 quantile,,Paid maintenance (deduction in taxable income) - 92/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q94,LAB,underhol,Q94,Paid maintenance (deduction in taxable income) - 94/100 quantile,,Paid maintenance (deduction in taxable income) - 94/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q97,LAB,underhol,Q97,Paid maintenance (deduction in taxable income) - 97/100 quantile,,Paid maintenance (deduction in taxable income) - 97/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q82,LAB,underhol,Q82,Paid maintenance (deduction in taxable income) - 82/100 quantile,,Paid maintenance (deduction in taxable income) - 82/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q99,LAB,underhol,Q99,Paid maintenance (deduction in taxable income) - 99/100 quantile,,Paid maintenance (deduction in taxable income) - 99/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q100,LAB,underhol,Q100,Paid maintenance (deduction in taxable income) - 100/100 quantile,,Paid maintenance (deduction in taxable income) - 100/100 quantile,generated_pattern,medium,english,,
LAB_underhol_Q98,LAB,underhol,Q98,Paid maintenance (deduction in taxable income) - 98/100 quantile,,Paid maintenance (deduction in taxable income) - 98/100 quantile,generated_pattern,medium,english,,
