code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
LAB_arblhumv_Q76,LAB,arblhumv,Q76,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 76/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 76/100 kvantil,,,Unemployment benefits and training allowance — 76/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q96,LAB,arblhumv,Q96,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 96/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 96/100 kvantil,,,Unemployment benefits and training allowance — 96/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q50,LAB,arblhumv,Q50,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 50/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 50/100 kvantil,,,Unemployment benefits and training allowance — 50/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q61,LAB,arblhumv,Q61,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 61/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 61/100 kvantil,,,Unemployment benefits and training allowance — 61/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q56,LAB,arblhumv,Q56,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 56/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 56/100 kvantil,,,Unemployment benefits and training allowance — 56/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q99,LAB,arblhumv,Q99,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 99/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 99/100 kvantil,,,Unemployment benefits and training allowance — 99/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q47,LAB,arblhumv,Q47,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 47/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 47/100 kvantil,,,Unemployment benefits and training allowance — 47/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q37,LAB,arblhumv,Q37,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 37/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 37/100 kvantil,,,Unemployment benefits and training allowance — 37/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q80,LAB,arblhumv,Q80,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 80/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 80/100 kvantil,,,Unemployment benefits and training allowance — 80/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q66,LAB,arblhumv,Q66,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 66/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 66/100 kvantil,,,Unemployment benefits and training allowance — 66/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q89,LAB,arblhumv,Q89,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 89/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 89/100 kvantil,,,Unemployment benefits and training allowance — 89/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q20,LAB,arblhumv,Q20,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 20/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 20/100 kvantil,,,Unemployment benefits and training allowance — 20/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q22,LAB,arblhumv,Q22,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 22/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 22/100 kvantil,,,Unemployment benefits and training allowance — 22/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q53,LAB,arblhumv,Q53,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 53/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 53/100 kvantil,,,Unemployment benefits and training allowance — 53/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q73,LAB,arblhumv,Q73,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 73/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 73/100 kvantil,,,Unemployment benefits and training allowance — 73/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q52,LAB,arblhumv,Q52,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 52/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 52/100 kvantil,,,Unemployment benefits and training allowance — 52/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q88,LAB,arblhumv,Q88,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 88/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 88/100 kvantil,,,Unemployment benefits and training allowance — 88/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q100,LAB,arblhumv,Q100,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 100/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 100/100 kvantil,,,Unemployment benefits and training allowance — 100/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q69,LAB,arblhumv,Q69,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 69/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 69/100 kvantil,,,Unemployment benefits and training allowance — 69/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
