code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
LAB_rentudgpr_Q74,LAB,rentudgpr,Q74,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 74/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 74/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 74/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q52,LAB,rentudgpr,Q52,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 52/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 52/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 52/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q70,LAB,rentudgpr,Q70,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 70/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 70/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 70/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q50,LAB,rentudgpr,Q50,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 50/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 50/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 50/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q56,LAB,rentudgpr,Q56,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 56/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 56/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 56/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q61,LAB,rentudgpr,Q61,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 61/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 61/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 61/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q40,LAB,rentudgpr,Q40,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 40/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 40/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 40/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q55,LAB,rentudgpr,Q55,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 55/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 55/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 55/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q51,LAB,rentudgpr,Q51,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 51/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 51/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 51/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q67,LAB,rentudgpr,Q67,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 67/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 67/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 67/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q44,LAB,rentudgpr,Q44,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 44/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 44/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 44/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q49,LAB,rentudgpr,Q49,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 49/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 49/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 49/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
LAB_rentudgpr_Q41,LAB,rentudgpr,Q41,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 41/100 kvantil,Fradragsberettigede renteudgifter (ekskl. udland og selvstændig virksomhed) — 41/100 kvantil,,,Tax-deductible interest expenses (excl. foreign and self-employment interest) — 41/100 quantile,,,dst_times_rentudgpr,generated_pattern,high,english,,
