Gyldig fra 	Gyldig til 	Kode 	Tekst
		32123 	Flag- og teltfabrikker);(inkl. sejlmagerier)
		32124 	Fremstilling af gardiner,sengetæpper og linne
		32129 	Fremstilling af div. færdige tekstilvarer
		32130 	Trikotagefabrikker
		32140 	Tæppefabrikker
		32151 	Rebslagerier
		32152 	Fiskenetfabrikker
		32190 	Fremst. af div. tekstilv.heru. tvist-og vat,
		32211 	Herrekonfektionsfabrikker
		32212 	Kjolekonfektionsfabrikker
		32213 	Konfektionsfabrikker for dameovertøj
		32214 	Skjortefabrikker
		32215 	Fremst. af korsetter m.v.
		32219 	Anden konfektionsindustri
		32291 	Skrædderforretninger
		32292 	Kjolesyning
		32293 	Hattefabrikker
		32294 	Buntmagerier
		32295 	Damehatte- og modevarefremstilling
		32296 	Handskefabrikker
		32299 	Beklædningsindustri i øvrigt
		32310 	Garverier
		32320 	Pelsberedning m.v.
		32330 	Lædervarefabrikker
		32401 	Skotøjsfabrikker
		32402 	Håndskomagere
		32403 	Træskofabrikker
		32409 	Fodtøjsindustri i øvrigt
		33111 	Savværker m.v.
		33112 	Træimprægneringsanstalter
		33113 	Fremstilling af spånplader, finer m.v.
		33114 	Fremstilling af bygningsartikler
		33121 	Træemballagefabrikker
		33122 	Bødkere
		33123 	Kurvemagere
		33191 	Trævarefabrikker
		33192 	Rammelistefabrikker
		33193 	Trædrejere
		33194 	Billedskærere
		33195 	Modelsnedkere
		33196 	Korkvarefabrikker
		33197 	Ligkistefabrikker
		33201 	Træ- og polstermøbelfabr.
		33202 	Møbelpolstrere og sadelm.
		33203 	Madrasfabrikker
		33209 	Lakering samt afsyring mv af møbler
		34110 	Papir- og papfabrikker
		34120 	Papir- og papembalagefabrikker
		34191 	Tapetfabrikker
		34199 	Papir- og papvareindustri (undtagen tapetfabr
		34211 	Reproduktionsanstalter
		34212 	Sætterier
		34221 	Bogtrykkerier
		34222 	Offsettrykker. (plantryk)
		34223 	Serigrafiske trykkerier
		34224 	Anilintrykkerier
		34229 	Anden grafisk virksomhed
		34230 	Bogbinderier
		34240 	Dagblade
		34291 	Bog- og kunstforlag
		34292 	Ugeblade og magasiner
		34293 	Distr.- og annonceblade
		34299 	Udgivelse af fagblade og foreningsblade m.v.
		35111 	Fremstilling af ilt og andre industrigasser
		35119 	Fremst. af primære kemiske forb. og grundstof
		35121 	Fremst. af kunstgødning
		35122 	Fremstilling af færdige bekæmpelsesmidler
		35131 	Fremst. af basisplast
		35132 	Fremstilling af plader, folier, rør m.v. af p
		35133 	Fremst. af klæbestrimler
		35210 	Farve- og lakfabrikker
		35220 	Medicinalvarefabrikker
		35231 	Sæbefabrikker
		35232 	Kosmetikfabrikker
		35291 	Sprængstoffabrikker
		35292 	Pudse- og rensemiddelfabrikker
		35293 	Fremst. af stearinlys
		35294 	Limfabrikker
		35295 	Fremstilling af lysfølsomt papir og pap
		35299 	Kemisk industri i øvrigt
		35300 	Mineralolieraffinaderier
		35401 	Asfaltfabrikker
		35402 	Tagpapfabrikker
		35409 	Fremstilling af olie- og kulprodukter
		35510 	Vulkaniseringsanstalter
		35590 	Gummifabrikker
		35601 	Fremstilling af plastemballage
		35609 	Fremst. af plastvarer
		36101 	Porcelæns- og fajancefabrikker
		36102 	Fremstilling af keramik- og lervarer
		36103 	Porcelænsmalere og -brænderier
		36201 	Glasværker
		36202 	Glasbearbejdning
		36911 	Teglværker
		36912 	Fremstilling af molerprodukter
		36921 	Cementfabrikker
		36922 	Kalk- og kridtværker
		36923 	Mørtelfabrikker
		36991 	Stenhuggerier
		36992 	Fremstilling af færdigblandet beton
		36993 	Betonvarefabrikker
		36994 	Fremstilling af glasuld og glasfiber
		36995 	Fremstilling af kalksand-sten og gipsplader
		36996 	Fremstilling af slibematerialer
		36999 	Fremstilling af sten-,ler- og glasprodukter
		37101 	Jern- og stålværker
		37102 	Jernstøberier
		37201 	Metalværker
		37202 	Metalstøberier
		38110 	Fremstilling af værktøj, beslag samt bestik
		38121 	Metalmøbelfabrikker
		38122 	Lampefabrikker
		38131 	Fremstilling af jern- og metalkonstruktioner,
		38132 	Fremstilling af stationære beholdere
		38133 	Rørfabrikker
		38190 	Fremstilling af centralvarmekedler
		38191 	Metalemballagefabrikker
		38192 	Fremstilling af ovne og radiatorer
		38193 	Armaturfabrikker
		38194 	Fremstilling af bolte, skruer og søm
		38195 	Galvaniseringsanst. m.v.
		38196 	Industrilakering
