Gyldig fra 	Gyldig til 	Kode 	Tekst
		582030 	Tagdækning mv.
		582035 	Vejbygning og -belægning
		582040 	Kloakering og pilotering mv.
		582045 	Bygningskonstruktøruddannelser mv.
		582050 	Bygnings- og anlægsingeniøruddannelser
		582055 	Øvrige bygge- og anlægsuddannelser
		582060 	Bygge- og anlægskonstruktion, tværfaglige uddannelser
		601010 	Jordbrug, skovbrug og fiskeri u.n.a.
		601510 	Landbrug u.n.a.
		601515 	Landmand mv.
		601520 	Landbrug, driftsledelse
		601525 	Jordbrugsteknologi
		601530 	Jordbrugsvidenskab
		601535 	Dyrepasning
		602010 	Gartneri u.n.a.
		602015 	Anlægsgartneri
		602020 	Produktionsgartneri
		602025 	Væksthusgartneri
		602030 	Gartneriteknik
		602035 	Gartnerividenskab
		602040 	Greenkeeping
		602510 	Jordbrugsøkonomi
		602511 	Jordbrugsbiologi
		602515 	Jordbrug, tværfaglige uddannelser i øvrigt
		603010 	Skov- og naturteknik
		603015 	Skovbrugsvidenskab
		603510 	Erhvervsfiskeri
		604010 	Veterinærsygepleje
		604015 	Veterinær og veterinærvidenskab
		651010 	Social og sundhed u.n.a.
		651510 	Tandpleje og assistance i tandklinik
		651515 	Tandteknik og laboratorietandteknik
		651520 	Tandlæge og specialtandlæge
		652010 	Lægevidenskab
		652510 	Jordemoderuddannelser
		652520 	Sundhedspleje og sundhedsvidenskab
		652525 	Sygepleje og sygeplejevidenskab
		653510 	Audiologi- og neurofysiologiassistenter
		653515 	Radiografi og billeddiagnostik
		653516 	Stråleterapi
		653520 	Optometri
		653525 	Ortopædi
		653530 	Bandagistuddannelser
		654010 	Bioanalyse mv.
		654510 	Psykomotorik og afspænding
		654515 	Ergo- og fysioterapi
		654520 	Fodterapi
		654525 	Musikterapi
		654530 	Sundhed og ernæring
		654535 	Biomekanik
		655010 	Farmakonom- og apoteksuddannelser
		655510 	Folkesundhedsvidenskab
		655515 	Idræt og sundhed mv.
		655520 	Sundhed, tværfaglige uddannelser i øvrigt
		656010 	Handicap- og ældrepleje u.n.a.
		656015 	Social- og sundhedsassistance
		656510 	Pædagogiske grunduddannelser
		656515 	Pædagoguddannelser, børn og unge
		656520 	Socialpædagoguddannelser
		656525 	Pædagogisk arbejde med børn og unge i øvrigt
		657010 	Social rådgivning og socialformidling
		657015 	Erhvervsvejledning og personlig rådgivning mv.
		701010 	Service u.n.a.
		701510 	Bygnings- og brugerservice u.n.a.
		701515 	Bygningsservice
		701525 	Rengørings- og institutionsservice mv.
		701530 	Husholdningskurser
		702010 	Frisør- og kosmetikeruddannelser u.n.a.
		702020 	Frisøruddannelser
		702025 	Kosmetikeruddannelser
		702510 	Hotel, restaurant og catering u.n.a.
		702515 	Gastronomi, køkken og catering
		702525 	Tjeneruddannelser
		702530 	Hotelreception og -service
		703010 	Sportstræning og -teknik
		703015 	Turisme, fritid og events
		703510 	Service, tværfaglige uddannelser
		704010 	Spildevands- og affaldshåndtering mv.
		751010 	Forsvar u.n.a.
		751015 	Forsvar generelt
		751020 	Flyvevåbnet
		751025 	Hæren
		751030 	Søværnet
		751510 	Politi og sikkerhed u.n.a.
		751515 	Politi
		751520 	Fængselsvæsen
		751525 	Beredskab og redningstjeneste
		751530 	Vagtservice
		751535 	Toldvæsen
		801010 	Transport u.n.a.
		801510 	Søfart u.n.a.
		801515 	Kyst-, fiske- og sætteskipper
		801520 	Skibsassistent, skibsfører
		801525 	Skibsofficer
		801530 	Maskinist
		802010 	Havne, lager og terminal
		802015 	Kranføring
		802510 	Luftfart
		802515 	Lufthavnsuddannelser
		803010 	Chauffør u.n.a.
		803015 	Chauffør, godstransport
		803020 	Chauffør, persontransport
		803025 	Chauffør, transport af dyr
		803030 	Chauffør, flytning og renovation
		803510 	Togtransport
		804010 	Post, distribution mv.
		981010 	Studiefag uoplyst indv. udd.
		981020 	Studiefag uoplyst, AMU
		981030 	Studiefag uoplyst, andre
		991010 	Afbrudt
		992010 	Igang
		993010 	Ikke igang
		994010 	Uoplyst (kendt i elevregistret)
		994020 	Uoplyst (ukendt i elevregistret)
		994030 	Uoplyst (indvandrernes uddannelse)
		995010 	Ingen uddannelse (indvandrernes uddannelse)
