SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
190;"5535";3;Abu Dhabi;Indgår fra 1990 i Forenede Arabiske Emirater (5403).;;;;;
191;"5404";3;Afghanistan;;;;;;
192;"5708";3;Armenien;;;;;;
193;"5710";3;Aserbajdsjan;;;;;;
194;"5406";3;Bahrain;;;;;;
195;"5410";3;Bangladesh;;;;;;
196;"5408";3;Bhutan;;;;;;
197;"5412";3;Brunei;;;;;;
198;"5416";3;Cambodja;Tidligere Kampuchea (5416).;;;;;
199;"5531";3;Dubai;Indgår fra 1990 i Forenede Arabiske Emirater (5403).;;;;;
200;"5474";3;Filippinerne;;;;;;
201;"5403";3;Forenede Arabiske Emirater;Tidligere Trucial Oman (5493).;Abu Dhabi (5535) og Dubai (5531).;;;;
202;"5724";3;Georgien;Selvstændig nation siden 1991. Tidligere en del af Sovjetunionen (5162).;;;;;
203;"5428";3;Hongkong;"Indgår fra 1990 i Storbritiannien (5190) og fra 2007 i Kina (5448). ";;;;;
204;"5432";3;Indien;;Sikkim (5480).;;;;
205;"5434";3;Indonesien;;;;;;
206;"5498";3;Indokina;Udgår i 1990.;;;;;
207;"5436";3;Irak;;;;;;
208;"5438";3;Iran;;;;;;
209;"5442";3;Israel;;;;;;
210;"5444";3;Japan;;;;;;
211;"5446";3;Jordan;;;;;;
212;"5716";3;Kasakhstan;;;;;;
213;"5448";3;Kina;;Hongkong (5448) og Macao (5533).;;;;
214;"5720";3;Kirgisistan;;;;;;
215;"5452";3;Kuwait;;;;;;
216;"5454";3;Laos;;;;;;
217;"5456";3;Libanon;;;;;;
218;"5533";3;Macao;Indgår fra 1990 i Portugal (5156) og fra 2000 i Kina (5448).;;;;;
219;"5458";3;Malaysia;;;;;;
220;"5457";3;Maldiverne;;;;;;
221;"5459";3;Mongoliet;;;;;;
222;"5414";3;Myanmar;Tidligere Burma (5414).;;;;;
223;"5464";3;Nepal;;;;;;
224;"5466";3;Nordkorea;;;;;;
225;"5468";3;Nordvietnam;Udgår i 1990 og fortsætter under Vietnam (5488).;;;;;
226;"5494";3;Nordyemen;Udgår i 1990 og fortsætter under Yemen (5402).;;;;;
227;"5462";3;Oman;;;;;;
228;"5472";3;Pakistan;;;;;;
229;"5473";3;Palæstina;Indgår fra 1990 i Mellemøsten uoplyst (5487).;;;;;
230;"5496";3;Qatar;;;;;;
231;"5478";3;Saudi-Arabien;;;;;;
232;"5480";3;Sikkim;;;;;;
233;"5482";3;Singapore;;;;;;
234;"5418";3;Sri Lanka;;;;;;
235;"5484";3;Sydkorea;;;;;;
236;"5486";3;Syrien;;;;;;
237;"5722";3;Tadsjikistan;;;;;;
238;"5424";3;Taiwan;;;;;;
239;"5492";3;Thailand;;;;;;
240;"5718";3;Turkmenistan;;;;;;
241;"5493";3;Trucial Oman;Erstattes af Forenede Arabiske Emirater (5403).;;;;;
242;"5714";3;Usbekistan;;;;;;
243;"5488";3;Vietnam;Tidligere Sydvietnam (5488).;Nordvietnam (5468).;;;;
244;"5402";3;Yemen;Tidligere Sydyemen.;Nordyemen (5494).;;;;
245;"5471";3;Asien uoplyst;;;;;;
246;"5476";3;Asien uoplyst;;;;;;
247;"5499";3;Asien uoplyst;;;;;;
248;"5487";3;Mellemøsten uoplyst;;"Palæstina (5473), Vestbredden og Gaza (5473). ";;;;
249;"5";1;Oceanien;;;;;;
250;"375";2;Oceanien;;;;;;
251;"5502";3;Australien;;;;;;
252;"5516";3;Cookøerne;Indgår fra 1990 i New Zealand (5514).;;;;;
253;"5779";3;Cookøerne;Indgår fra 1990 i New Zealand (5514).;;;;;
254;"5508";3;Fiji;;;;;;
255;"5506";3;Franske besiddelser i Stillehavet;Indgår fra 1990 i Øer i Stillehavet (5599).;;;;;
256;"5274";3;Kiribati;;;;;;
257;"5248";3;Marshalløerne;;;;;;
258;"5310";3;Nauru;;;;;;
259;"5514";3;New Zealand;;Cookøerne (5779).;;;;
260;"5534";3;Papua Ny Guinea;;;;;;
261;"5623";3;Salomonøerne;;;;;;
262;"5522";3;Samoa;;;;;;
263;"5505";3;Tonga;;;;;;
264;"5273";3;Tuvalu;;;;;;
265;"5275";3;Vanuatu;;;;;;
266;"5532";3;Øst Timor;Indgår fra 1991 i Indonesien (5434).;;;;;
267;"5435";3;Timor-Leste;;;;;;
268;"5599";3;Øer i Stillehavet;;Franske besiddelser i Stillehavet (5506).;;;;
269;"6";1;Statsløse og uoplyst;;;;;;
270;"381";2;Udlandet uoplyst;;;;;;
271;"5102";3;Udlandet uoplyst;;;;;;
272;"5999";3;Udlandet uoplyst;;;;;;
273;"591";2;Statsløse;;;;;;
274;"5103";3;Statsløse;;;;;;
275;"999";2;Helt uoplyst;;;;;;
276;"5000";3;Helt uoplyst;;;;;;
277;"5001";3;Helt uoplyst;;;;;;
278;"5800";3;Helt uoplyst;;;;;;
279;"5906";3;Helt uoplyst;;;;;;
280;"0";3;Helt uoplyst;;;;;;
