code,title,level
1509,"1. år, grundsskolekursus 2-årigt",3
1510,"2. år, grundsskolekursus 2-årigt",3
1511,Supplerende overbygningsforløb (SOF),3
1522,"1. år, realkursus 2-årigt",3
1523,"2. år, realkursus 2-årigt",3
1531,1. hf,3
1532,2. hf,3
1533,3. hf.,3
1535,1. hf (3-årig),3
1536,2. hf (3-årig),3
1537,3. hf,3
1539,Hf,3
1540,3-årig hf,3
1541,1. hf,3
1542,2. hf,3
1543,2-årig hf,3
1549,HF-enkeltfag,3
1551,"1. år, studenterkursus matematik-fysik",3
1552,"1. år, studenterkursus matematik-naturfag",3
1553,"1. år, studenterkursus matematik-samfundsfag",3
1555,"1. år, studenterkursus matematik-forsøg",3
1559,"1. år, studenterkursus matematik",3
1561,"1. år, studenterkursus nysproglig",3
1562,"1. år, studenterkursus klassisksproglig",3
1563,"1. år, studenterkursus samfundsfag-sproglig",3
1565,"1. år, studenterkursus sproglig-forsøg",3
1569,"1. år, studenterkursus sproglig",3
1650,"1. år, studenterkursus",3
1651,"2. år, studenterkursus",3
1652,Studenterkursus,3
1671,"2. år, studenterkursus matematik-fysik",3
1672,"2. år, studenterkursus matematik-naturfag",3
1673,"2. år, studenterkursus matematik-samfundsfag",3
1679,"2. år, studenterkursus matematik",3
1681,"2. år, studenterkursus nysproglig",3
1682,"2. år, studenterkursus klassisksproglig",3
1683,"2. år, studenterkursus samfundsfag-sproglig",3
1689,"2. år, studenterkursus sproglig",3
1721,"1. år, realkursus 3-årigt",3
1722,"2. år, realkursus 3-årigt",3
1723,"3. år, realkursus 3-årigt",3
1879,Matematisk studenterkursus,3
1881,"1. år, EB",3
1882,"2. år, EB",3
1883,"3. år, EB",3
1889,Sproglig studenterkursus,3
1891,"1.g, pre-IB",3
1892,"2.g, IB år 1",3
1893,"3.g, IB år 2",3
1896,"1. år, anden international studentereksamen",3
1897,"2. år, anden international studentereksamen",3
1898,"3. år, anden international studentereksamen",3
1899,International studentereksamen,3
1901,Produktionsskole,3
1983,"Dagpleje mv., førskoleuddannelse",3
1984,"Vuggestue mv., førskoleuddannelse",3
1985,"Børnehave mv., førskoleuddannelse",3
2003,"Skibskok, grundkursus",3
2005,Ubefaren skibsassistent,3
2007,"Befaren matros, afslutningskursus",3
2008,Befaren skibsassistent,3
2009,"Befaren motormand, afslutningskursus",3
2010,"Skibskok, afslutningskursus",3
2015,Kystskipper,3
2016,Kystskipper og fiskeskipper af 3.grad,3
2017,Sætteskipper og fiskeskipper af 1.grad,3
2018,Erhvervsfisker,3
2019,Færgenavigatør,3
2021,Sætteskipper,3
2022,Fiskeskipper af 3.grad,3
2027,Fiskeskipper af 1.grad,3
2028,Maritimt forberedelseskursus,3
2029,"Juniorofficer, 1.teoridel",3
2401,Efterskole una,3
2411,"Husholdningskursus, alment",3
2413,Køkkenleder 1,3
2414,Husholdningstekniker,3
2415,"Husholdningsskole, efteruddannelseskursus",3
2417,"Husholdningsskole, andre kurser",3
2419,Køkkenleder 2,3
2421,Håndarbejdskursus,3
2425,Særlig tilrettelagt ungdomsuddannelse (STU),3
2428,Daghøjskoler,3
2431,"Ungdomshøjskolekursus, alment",3
2432,"Ungdomshøjskolekursus, andre",3
2441,"Folkehøjskolekursus, alment",3
2442,"Folkehøjskolekursus, særlig gymnastik-/idrætskursus",3
2443,"Folkehøjskolekursus, håndarbejde og sløjd",3
2444,"Folkehøjskolekursus, forkursus sygepleje",3
2445,"Folkehøjskolekursus, særlig tilrettelagt for handicappede",3
2446,"Folkehøjskolekursus, pensionister",3
2447,"Folkehøjskolekursus, andre",3
2459,Landmand faglært modul 1a,3
2460,Landmand faglært modul 1b,3
2461,"Driftlederkursus, udvidet 5 mdr.",3
2462,"Landmand, efteruddannelse",3
2463,"Landbrugstekniker, regnskab",3
2464,"Landbrugstekniker, biologi",3
2465,"Landbrugstekniker, husdyrbrug",3
2466,"Landbrugstekniker, maskiner",3
2467,"Landbrugstekniker, planteavl",3
2468,"Landbrugstekniker, landbrug diplomuddannelse",3
2469,"Inseminør, kvæg",3
2470,Produktionsassistent landbrug,3
2471,"Landbrugslærer, efteruddannelse",3
2472,Tf-landbrugsteknik,3
2473,"Landbrugskurser, andre",3
2475,Mejeriteknolog,3
2476,"Mejeriskolekurser, andre",3
2477,"Gartnerskole, væksthus kursus",3
2478,"Gartnerskole, planteskole kursus",3
2479,"Gartnerskole, anlæg kursus",3
2480,"Gartnerskole, frugtavl kursus",3
2481,Blomsterdekoratørkursus,3
2483,"Gartnerskole, andre kurser",3
2484,Skovbrugskursus,3
2485,Landmand faglært modul 2,3
2486,Driftsleder grønt bevis,3
2487,"Landbrugsskole, grundskole afkortet",3
2488,"Gartner, driftslederkursus",3
2489,Landbrugets driftlederkursus,3
2490,Agrarøkonom,3
2491,Grønt diplom modul 4,3
2492,Kombineret ungdomsuddannelse,3
2493,"Produktionsleder, landbrug",3
2494,"Virksomhedsleder, landbrug",3
2495,Landbrugets lederuddannelse una,3
2508,"8. klasse, efterskole",3
2509,"9. klasse, efterskole",3
2510,"10. klasse, efterskole",3
2511,"11. klasse, efterskole",3
2530,Den fri ungdomsuddannelse (FUU),3
2887,"Amu.bai, Beton- og montagebyggeri",3
2888,"Amu.bai, industriel fremstilling af betonvarer/ -elementer",3
2891,"Amu.trp, personbefordring med bybane",3
2893,"Amu.bai, anlægsarbejder",3
2894,RKV før EUD,3
2895,"Amu.bai, bygge- og anlægsopgaver i tungere materialer",3
2900,"Amu.ind., beklædnings- og tekstilindustri",3
2901,"Amu.ind., lederuddannelse udvidet",3
2902,"Amu.ind., teknik-fremstilling-elektronik",3
2903,"Amu.ind., bryggeri-brænd.",3
2904,"Amu.ind., sala-kødindustri-mejeri",3
2905,"Amu.ind., metalindustri",3
2906,"Amu.ind., fisk og fjerkræ",3
2907,"Amu.ind., procesindustri - levnedsmiddel",3
2908,"Amu.ind., snedker og tømrer",3
2909,"Amu.ind., fotograffaget",3
2910,"Amu.ind., el-faget",3
2911,"Amu.ind., træindustrien",3
2912,"Amu.ind., grafisk euu",3
2913,"Amu.ind., teknikere mv.",3
2914,"Amu.ind., metalindustrien specialarb.",3
2915,"Amu.ind., kartonnage og papir",3
2916,"Amu.ind., fyringsteknik",3
2917,"Amu.ind., laborantuddannelse",3
2918,"Amu.ind., kødbranchen",3
2919,"Amu.ind., mejeriindustrien",3
2920,"Amu.ind., plastindustrien",3
2921,"Amu.ind., polstermøbler og sko",3
2922,"Amu.ind., tobaksindustrien",3
2923,"Amu.ind., vodbinderierhverv",3
2924,"Amu.ind., procesindustri",3
2925,"Amu.ind., fællesplan metalindustrien",3
