SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
38;"1316";4;Ledelse af virksomheder inden for transport og kommunikation;;Budcentralejer, depotbestyrer (Lufthavnschef: 1226);;;;
39;"1317";4;Ledelse af virksomheder inden for forretningsservice;;Automatudlejer, biludlejer, serviceudlejer;;;;
40;"1318";4;"Ledelse af virksomheder inden for sektoren ""personlige tjenesteydelser""";;Renseriejer;;;;
41;"1319";4;Ledelse af øvrige virksomheder med færre end ti beskæftigede;;Biografdirektør, klubhusbestyrer, plejehjemsforstander, teltholder;;;;
42;"2";1;Arbejde, der forudsætter færdigheder på højeste niveau inden for pågældende område;"Hovedgruppe 2 omfatter arbejde, der forudsætter færdigheder på højeste niveau. Arbejdet består i forskning og/eller anvendelse af færdigheder, begreber og teorier inden for et fagområde. Til hovedgruppe 2 hører også undervisningsarbejde, der forudsætter indgående faglig og/eller pædagogisk indsigt. Endvidere omfattes kunstnerisk eller anden intellektuel udfoldelse på højeste niveau.

I hovedgruppe 2 klassificeres personer med fagbetegnelser som fx fysiker, aktuar, bygningsingeniør, arkitekt, læge, lærer, advokat, revisor, bibliotekar, journalist, kunstner og præst.";;;;;
43;"21";2;Forskning og/eller anvendelse af færdigheder inden for de ikke-biologiske grene af naturvidenskab samt datalogi, statistik, arkitektur og tekniske videnskaber;;;;;;
44;"211";3;Arbejde med emner inden for fysik, kemi, astronomi, meteorologi, geologi og geofysik;;;;;;
45;"2111";4;Arbejde med emner inden for fysik og astronomi;;Astronom, fysiker;;;;
46;"2112";4;Arbejde med emner inden for meteorologi;;Klimatolog, meteorolog;;;;
47;"2113";4;Arbejde med emner inden for kemi;;Kemiker (Biokemiker: 2212, farmaceut: 2224, kemiingeniør: 2146);;;;
48;"2114";4;Arbejde med emner inden for geologi og geofysik;;Geofysiker, geolog, hydrolog;;;;
49;"212";3;Arbejde med matematiske og statistiske begreber, teorier og metoder;;;;;;
50;"2121";4;Arbejde med matematiske begreber, teorier og metoder;;Aktuar;;;;
51;"2122";4;Arbejde med statistiske begreber, teorier og metoder;;Statistiker;;;;
52;"213";3;Edb-planlægning og systemudvikling;;;;;;
53;"2131";4;Design, analyse og overordnet planlægning af edb-systemer;;Databaseadministrator, edb-konsulent, systemanalytiker;;;;
54;"2132";4;Systemudvikling samt konstruktion/programmering af edb-systemer;;Systemprogrammør;;;;
55;"2139";4;Andet edb-arbejde på højeste faglige niveau;;Applikationskonsulent;;;;
56;"214";3;Arkitekt- og ingeniørarbejde med videre;;;;;;
57;"2141";4;Arkitektarbejde og planlægning af anlægsarbejder;;Arkitekt, byplanlægger, landskabschef (Møbelkonstruktør: 2149);;;;
58;"2142";4;Ingeniørarbejde vedrørende bygninger og anlæg;;Bygningsingeniør, bygningskonstruktør, vejingeniør;;;;
59;"2143";4;Ingeniørarbejde vedrørende stærkstrøm;;Stærkstrømsingeniør;;;;
60;"2144";4;Ingeniørarbejde vedrørende svagstrøm;;Svagstrømsingeniør;;;;
61;"2145";4;Ingeniørarbejde vedrørende ikke-elektriske motorer og maskinanlæg;;Maskiningeniør, skibsingeniør;;;;
62;"2146";4;Ingeniørarbejde vedrørende kemiske processer ved industriel produktion;;Kemiingeniør (Biokemiker: 2212, kemiker: 2113);;;;
63;"2147";4;Mineingeniørarbejde;;Boreingeniør;;;;
64;"2148";4;Landinspektørarbejde;;Geometriker, landinspektør;;;;
65;"2149";4;Andet arkitekt- og ingeniørarbejde med videre;;Arbejdsstudiechef, brygmester, mejeriingeniør, møbelarkitekt, produktionsingeniør;;;;
66;"22";2;Forskning og/eller anvendelse af færdigheder inden for medicin, farmaci og de biologiske grene af naturvidenskab samt jordemoderarbejde, overordnet sygeplejearbejde med videre;;;;;;
67;"221";3;Arbejde med emner inden for de biologiske grene af naturvidenskab;;;;;;
68;"2211";4;Arbejde med emner inden for biologi, genetik, zoologi, botanik og økologi samt levnedsmiddel­området;;Biolog, zoolog, økolog;;;;
69;"2212";4;Arbejde med emner inden for anatomi, biokemi, fysiologi, patologi og farmakologi;;Biokemiker, farmakolog, patolog;;;;
70;"2213";4;Arbejde med emner inden for agronomi vedrørende plante- og husdyravl;;Hortonom, landbrugskandidat, planteavlskonsulent, skovrider (Dyrlæge: 2223);;;;
71;"222";3;Arbejde med emner inden for medicin, odontologi, veterinærvidenskab og farmaci;;;;;;
72;"2221";4;Lægearbejde;;Kirurg, læge, psykiater (Kiropraktor: 3226, stadslæge: 1110);;;;
73;"2222";4;Tandlægearbejde;;Tandlæge;;;;
74;"2223";4;Veterinærarbejde;;Dyrlæge (Stadsdyrlæge: 1110);;;;
75;"2224";4;Farmaceutarbejde;;Apoteker, farmaceut;;;;
76;"2229";4;Arbejde med emner inden for medicin, odontologi, veterinærvidenskab og farmaci i øvrigt;;Arbejdsmiljøkonsulent;;;;
77;"223";3;Jordemoderarbejde, overordnet sygeplejearbejde med videre;;;;;;
78;"2230";4;Jordemoderarbejde, overordnet sygeplejearbejde med videre;;Afdelingssygeplejerske, hjemmesygeplejerske, jordemoder, sundhedsplejerske (Sygeplejerske: 3231);;;;
79;"23";2;Undervisning i folkeskoler, erhvervsskoler, gymnasier og højere læreanstalter samt forsknings­til­rettelæggelse og kontrol af undervisningsarbejde;;(Arbejde med instruktion/undervisning på arbejdspladser klassificeres som det arbejde, der instrueres/undervises i) (Undervisning i forbindelse med omsorgsarbejde klassificeres i hovedgruppe 3);;;;
80;"231";3;Undervisning på universiteter og andre højere læreanstalter;;;;;;
81;"2310";4;Undervisning på universiteter og andre højere læreanstalter;;Konservatorielærer, professor;;;;
82;"232";3;Undervisning på gymnasier, erhvervsskoler med videre;;;;;;
83;"2320";4;Undervisning på gymnasier, erhvervsskoler med videre;;Faglærer, gymnasielærer, højskolelærer, musikpædagog (Aftenskolelærer: 3340);;;;
84;"233";3;Undervisning i folkeskoler og lignende;;;;;;
85;"2331";4;Undervisning i folkeskoler og lignende;;Efterskolelærer, folkeskolelærer (Børnehavelærer: 3320, fritidsvejleder: 3340, højskolelærer: 2320);;;;
86;"234";3;Undervisning af handicappede mennesker;;;;;;
87;"2340";4;Undervisning af handicappede mennesker;;Døvelærer, hørekonsulent, støttepædagog, talepædagog (Omsorgsassistent: 3330);;;;
88;"235";3;Arbejde vedrørende undervisning i øvrigt;;;;;;
89;"2351";4;Forskning, udvikling og rådgivning vedrørende undervisningsmetoder;;Faginspektør, undervisningskonsulent;;;;
90;"2352";4;Kontrol og tilrettelæggelse af undervisning;;Amtsskoleinspektør, skolekonsulent;;;;
91;"2359";4;Andet arbejde vedrørende undervisning, herunder kursusvirksomhed;;Kursusbestyrer, studievejleder;;;;
92;"24";2;Forskning og/eller anvendelse af færdigheder inden for samfundsvidenskab og humaniora;;;;;;
93;"241";3;Arbejde med emner vedrørende virksomheders organisation og økonomi;;;;;;
94;"2411";4;Overordnet revisions- og regnskabsarbejde;;Registreret revisor, statsautoriseret revisor (Bogholder: 3433);;;;
95;"2412";4;Udvikling og planlægning af personalespørgsmål;;Beskæftigelseskonsulent, erhvervsvejleder, personalekonsulent (Arbejdsformidler: 3423);;;;
96;"2419";4;Specialfunktioner vedrørende organisation, herunder ledelsesrådgivning;;Ekspeditionssekretær, fuldmægtig, markedsanalytiker, marketingkonsulent;;;;
97;"242";3;Juridisk præget arbejde;;;;;;
98;"2421";4;Advokatarbejde;;Advokat, sagfører;;;;
99;"2422";4;Dommerarbejde;;Dommer, dommerfuldmægtig, retsassessor;;;;
100;"2429";4;Juridisk præget arbejde i øvrigt;;Dispachør, havariagent, notar (Taksator: 3417);;;;
101;"243";3;Kulturformidling og informationsarbejde;;;;;;
102;"2431";4;Museums- og arkivarbejde;;Arkivar, museumsinspektør;;;;
103;"2432";4;Bibliotekararbejde;;Bibliotekar, forskningsbibliotekar;;;;
104;"244";3;Arbejde med emner inden for samfundsøkonomi, samfundsfag og humaniora samt overordnet socialrådgivningsarbejde;;;;;;
105;"2441";4;Arbejde med emner inden for samfundsøkonomi;;Cheføkonom, nationaløkonom;;;;
106;"2442";4;Arbejde med emner inden for sociologi og antropologi;;Antropolog, etnolog, sociolog;;;;
107;"2443";4;Arbejde med emner inden for filosofi og historie;;Historiker;;;;
108;"2444";4;Arbejde med emner inden for sprogvidenskab;;Oversætter, tolk, translatør (Korrespondent: 3431);;;;
109;"2445";4;Arbejde med emner inden for psykologi;;Psykolog, skolepsykolog;;;;
110;"2446";4;Overordnet socialrådgivningsarbejde;;Besøgskonsulent, bistandsadministrator, socialrådgiverkonsulent (Socialrådgiver: 3460);;;;
111;"245";3;Journalist-, kunst- og skribentarbejde;;;;;;
112;"2451";4;Alment journalistisk arbejde og skribentarbejde;;Anmelder, forfatter, journalist, redaktør, studievært;;;;
113;"2452";4;Illustrationsgrafisk arbejde vedrørende formidling og kunstnerisk arbejde vedrørende billedkunst og formgivning;;Art-director, billedhugger, billedvæver, kunstmaler;;;;
114;"2453";4;Kunstnerisk arbejde vedrørende udøvelse/instruktion af musik/sang;;Dirigent, komponist, musiker, operasanger, organist (Kirkesanger: 3473);;;;
115;"2454";4;Kunstnerisk arbejde vedrørende dans og koreografi;;Balletdanser, koreograf (Danser: 3473);;;;
116;"2455";4;Film- og skuespilarbejde;;Entertainer, filminstruktør, skuespiller (Statist: 3474, teaterdirektør: 1229);;;;
117;"246";3;Arbejde inden for religion;;;;;;
118;"2460";4;Arbejde inden for religion;;Provst, præst (Kordegn: 3480);;;;
119;"247";3;Arbejde med administration af lovgivningen inden for den offentlige sektor;;;;;;
120;"2470";4;Arbejde med administration af lovgivningen inden for den offentlige sektor;;Bilinspektør, byrådssekretær, ministersekretær (Kontorfuldmægtig: 3431, socialrådgiver: 3460, styrelseschef: 1110);;;;
121;"3";1;Arbejde, der forudsætter færdigheder på mellemniveau;"Hovedgruppe 3 omfatter arbejde, der består i assistance ved forskning, produktion, handel og administration. Desuden omfattes ledende transportarbejde, undervisnings- og omsorgsarbejde i dag- og døgninstitutioner samt sygepleje- og assistentarbejde inden for sundhedssektoren.

I hovedgruppe 3 klassificeres eksempelvis personer, der er beskæftiget som laborant, byggetekniker, maskintekniker, teknisk tegner, teknisk assistent, programmør, edb-operatør, fotograf, telegrafist, skibsfører, trafikflyver, flyveleder, økonoma, optiker, sygeplejerske, fysioterapeut, børnehavelærer, omsorgsassistent, repræsentant, speditør, advokatsekretær, bogholder, toldassistent, socialrådgiver, designer og træner.";;;;;
122;"31";2;Teknikerarbejde inden for ikke-biologiske emner;;;;;;
123;"311";3;Teknikerarbejde inden for fysik, kemi, mekanik med videre;;;;;;
124;"3111";4;Teknikerarbejde inden for fysik, kemi, astronomi, meteorologi, geologi med videre;;Flyvemeteorolog, geotekniker, laborant, laboratorietekniker, vejrobservatør;;;;
125;"3112";4;Teknikerarbejde vedrørende bygninger og anlæg;;Byggetekniker, landmålingstekniker;;;;
126;"3113";4;Teknikerarbejde vedrørende elektriske anlæg med videre;;Elektrotekniker, installatørtekniker;;;;
127;"3114";4;Teknikerarbejde vedrørende elektroniske anlæg med videre;;Elektroniktekniker, køletekniker, teletekniker;;;;
128;"3115";4;Teknikerarbejde vedrørende maskiner og røranlæg, eksklusive vedligeholdelse af maskiner om bord på skibe;;Gastekniker, konstruktør, maskintekniker, VVS-tekniker, værktøjstekniker;;;;
129;"3116";4;Teknikerarbejde vedrørende kemiske processer ved industriel produktion;;Kemotekniker;;;;
130;"3117";4;Teknikerarbejde vedrørende industrielle udvindingsanlæg;;Offshoretekniker, raffinaderitekniker;;;;
131;"3118";4;Teknisk tegnearbejde;;Korttegner, matrikeltekniker, rentegner, teknisk tegner, topograf;;;;
132;"3119";4;Teknikerarbejde i øvrigt inden for fysik, kemi, mekanik med videre;;Driftstekniker, kvalitetstekniker, produktionstekniker, servicetekniker, teknisk assistent, tidsstudietekniker;;;;
133;"312";3;Edb-teknisk arbejde;;;;;;
134;"3121";4;Programmørarbejde;;Edb-assistent, programmør, systemassistent;;;;
135;"3122";4;Edb-operatørarbejde samt planlægning af edb-drift;;Edb-driftsassistent, konsoloperatør;;;;
136;"3123";4;Arbejde med industrielle robotprogrammer;;;;;;
137;"313";3;Arbejde med lyd, lys og billeder ved film- og teaterforestillinger med videre samt betjening af medicinsk udstyr;;;;;;
138;"3131";4;Arbejde med lyd, lys og billeder ved fotografering, optagelse, film- og teaterforestillinger med videre;;Belysningstekniker, filmklipper, fotograf, kameraassistent, lydtekniker;;;;
139;"3132";4;Betjening af maskiner ved udsendelse af radio- og fjernsynsudsendelser samt ekspedition af sam­taler ved anvendelse af trådløs telefoni;;Programtekniker, radiooperatør, studietekniker, telegrafist, TV-assistent;;;;
140;"3133";4;Betjening af medicinsk udstyr såsom scannings- og narkoseapparatur samt maskiner til optagelse af røntgenbilleder og elektrodiagrammer;;EEG-assistent, hospitalstekniker, radiograf, røntgenfotograf;;;;
141;"3139";4;Arbejde med lyd, lys og billeder i øvrigt;;Kursustekniker, scenetekniker;;;;
142;"314";3;Arbejde inden for skibs- og luftfart;;;;;;
143;"3141";4;Teknisk arbejde om bord på skibe med mekaniske, elektriske og elektroniske installationer;;Maskinofficer, skibsmaskinist;;;;
144;"3142";4;Skibsførerarbejde;;Kaptajn, lods, skibsfører;;;;
145;"3143";4;Flypilotarbejde;;Flyvenavigatør, pilot, trafikflyver;;;;
146;"3144";4;Flyvelederarbejde samt planlægning og afvikling af flytrafik i øvrigt;;Flyveleder, flyvelederassistent;;;;
147;"3145";4;Flymaskinistarbejde;;Flymaskinist, flyvetekniker;;;;
148;"315";3;Arbejde vedrørende sikkerhed og kvalitet;;;;;;
149;"3151";4;Arbejde vedrørende bygnings- og brandsikkerhed;;Brandchef, sprinklerinspektør;;;;
150;"3152";4;Arbejde vedrørende kontrol af miljø, sikkerhed og kvalitet;;Arbejdsmiljøtekniker, hygiejneinspektør, kvalitetskonsulent, levnedsmiddelinspektør, sikkerhedskoordinator (Fabriksinspektør: 3439, hygiejneassistent: 3222, kontroltekniker: 3213, laborant: 3111);;;;
151;"32";2;Teknikerarbejde inden for biologiske emner;;;;;;
152;"321";3;Teknikerarbejde inden for biologi, medicin, landbrug med videre;;;;;;
153;"3211";4;Teknikerarbejde inden for biologi, medicin med videre;;Biologiassistent, hospitalslaborant (Laborant: 3111, landbrugstekniker: 3213);;;;
154;"3212";4;Teknikerarbejde inden for landbrug og skovbrug;;Gartneritekniker, jordbrugstekniker, planteavlstekniker, skovfoged, skovtekniker (Kvægbrugstekniker: 3213);;;;
155;"3213";4;Rådgivningsarbejde inden for landbrug og skovbrug;;"Agrarøkonom, landbrugstekniker, skadedyrskonsulent ";;;;
156;"322";3;Assistentarbejde inden for sundhedssektoren med videre, eksklusive sygeplejearbejde;;;;;;
157;"3221";4;Assistentarbejde og rådgivning vedrørende sundhed, fødsel med videre;;"(Diætist: 3223, jordemoder: 2230, klinikassistent: 4222, sygeplejerske: 3231) ";;;;
158;"3222";4;Assistentarbejde og rådgivning vedrørende hygiejne;;"Hygiejneassistent, miljøtekniker ";;;;
159;"3223";4;Assistentarbejde og rådgivning vedrørende kostforplejning på hospitaler og andre lignende institutioner;;Ernæringskonsulent, husholdningskonsulent, økonoma (Køkkenleder: 5122);;;;
160;"3224";4;Optikerarbejde;;"Optiker, optometrist ";;;;
161;"3225";4;Assistentarbejde vedrørende tandpleje;;Tandklinikassistent, tandplejer (Klinikassistenter, der ikke deltager i patientbehandlingen, klassificeres i undergruppe 4222);;;;
162;"3226";4;Arbejde med emner inden for fysioterapi, kiropraktik med videre;;Fodplejer, fysioterapeut, kiropraktor (Ergoterapeut: 3229);;;;
163;"3227";4;Assistentarbejde hos dyrlæge;;Kennelassistent, veterinærsygeplejerske (Dyrepasser: 6129);;;;
164;"3228";4;Assistentarbejde inden for farmaci;;Apoteksassistent (Defektrice: 5220, kemotekniker: 3116, laboratorietekniker: 3111);;;;
165;"3229";4;Arbejde med emner inden for ergoterapi, zoneterapi, yoga med videre;;Afspændingspædagog, ergoterapeut, yogalærer, zoneterapeut (Fysioterapeut: 3226);;;;
166;"323";3;Sygeplejearbejde;;;;;;
167;"3231";4;Sygeplejearbejde;;Narkoseassistent, sygeplejerske (Sundhedsplejerske: 2230, sygehjælper: 5132);;;;
168;"33";2;Undervisnings- og omsorgsarbejde;;;;;;
169;"331";3;Skoleundervisning af børn under den undervisningspligtige alder;;;;;;
170;"3310";4;Skoleundervisning af børn under den undervisningspligtige alder;;Børnehaveklasselærer, legestueleder (Børnehavelærer: 3320, folkeskolelærer: 2331);;;;
171;"332";3;Pædagogisk arbejde med børn under den undervisningspligtige alder;;;;;;
172;"3320";4;Pædagogisk arbejde med børn under den undervisningspligtige alder;;Børnehavelærer, småbørnskonsulent, vuggestueassistent (Børnehaveklasselærer: 3310);;;;
173;"333";3;Omsorgsarbejde med handicappede mennesker;;;;;;
174;"3330";4;Omsorgsarbejde med handicappede mennesker;;Forsorgsassistent, omsorgsassistent, socialpædagog (Talepædagog: 2340);;;;
175;"334";3;Undervisnings- og omsorgsarbejde i øvrigt;;;;;;
176;"3340";4;Undervisnings- og omsorgsarbejde i øvrigt;;Aftenskolelærer, fritidsvejleder, klubmedarbejder, kørelærer, ungdomsleder, værkstedsassistent (Sportsinstruktør: 3475);;;;
177;"34";2;Arbejde med salg, finansiering, forretningsservice, administration med videre;;;;;;
178;"341";3;Salgs- og finansieringsarbejde;;;;;;
179;"3411";4;Finansielt arbejde vedrørende omsætning af værdipapirer, opstilling af lånebetingelser, undersø­gelse af kreditværdighed med videre;;Bankier, valutahandler, vekselerer (Bankassistent: 4212);;;;
180;"3412";4;Forsikringssalgsarbejde;;Assurandør, forsikringskonsulent (Forsikringsassistent: 4122);;;;
181;"3413";4;Arbejde med køb, salg, leje og leasing af fast ejendom;;"Ejendomsmægler ";;;;
182;"3414";4;Arbejde vedrørende tilrettelæggelse af rejser;;Rejsekonsulent (Rejsebureauassistent: 4221);;;;
183;"3415";4;Opsøgende salgsarbejde, eksklusive detailsalg;;Handelsrejsende, lægemiddelkonsulent, repræsentant, salgsagent (Butikschef: 1224, ekspedient: 5220, eksporttekniker: 3419);;;;
184;"3416";4;Indkøbsarbejde i virksomheder og organisationer;;Disponent, indkøbskonsulent (Indkøbsassistent: 4132);;;;
185;"3417";4;Vurderings- og takseringsarbejde;;"Auktionsleder, havariinspektør, kreditforeningskonsulent, skadekonsulent, taksator ";;;;
186;"3419";4;Salgs- og finansieringsarbejde i øvrigt;;"Bankfuldmægtig, kunderådgiver, marketingassistent, økonomiassistent ";;;;
187;"342";3;Agentarbejde og forretningsservice;;;;;;
188;"3421";4;Mæglerarbejde;;"Kommissionær, varemægler ";;;;
189;"3422";4;Speditionsarbejde;;Befragter, shippingmand, skibsmægler, speditør (Speditørassistent: 4133);;;;
190;"3423";4;Jobformidlingsarbejde;;Arbejdsformidler (Personalekonsulent: 2412);;;;
191;"3429";4;Agentarbejde og forretningsservice i øvrigt;;"Brugerkonsulent, kundekonsulent, reklamekonsulent ";;;;
192;"343";3;Administrationsarbejde;;;;;;
193;"3431";4;Administrativt arbejde i sekretariat og lignende;;Direktionssekretær, korrespondent, sagsbehandler (Advokatsekretær: 3432, lægesekretær: 4115, registreringsassistent: 4190);;;;
194;"3432";4;Advokatsekretærarbejde;;"Advokatsekretær, juridisk assistent ";;;;
195;"3433";4;Revisions- og regnskabsarbejde;;Bogholder, revisorassistent (Bogholderiassistent: 4121, kasserer: 4211, revisor: 2411);;;;
196;"3434";4;Assistentarbejde ved matematiske beregninger og udarbejdelse af statistik;;" 3439";;;;
197;"3439";4;Administrationsarbejde i øvrigt;;Ejendomsinspektør, rengøringsinspektør, stadioninspektør, supervisor, tilsynsførende (Akkordberegner: 3112, personalekonsulent: 2412);;;;
198;"344";3;Administrativt arbejde vedrørende offentlige ydelser og afgifter;;;;;;
199;"3441";4;Toldarbejde med publikumsbetjening;;"Toldbetjent, toldvagtmester ";;;;
200;"3442";4;Toldarbejde med administrative funktioner;;"Ligningssekretær, skattekontrollør, toldassistent ";;;;
201;"3443";4;Arbejde vedrørende tildeling af offentlige ydelser;;Bistandsrådgiver, socialformidler (Socialrådgiver: 3460, socialrådgiverkonsulent: 2446);;;;
202;"3444";4;Arbejde vedrørende udstedelse af pas, licens med videre;;" 3449";;;;
203;"3449";4;Andet administrativt arbejde vedrørende offentlige ydelser og afgifter;;Brofoged, havnefoged, justermester, priskontrollør, vejer (Kvalitetsinspektør: 3152, svinekontrolassistent: 3213);;;;
204;"345";3;Politimæssigt undersøgelsesarbejde;;;;;;
205;"3450";4;Politimæssigt undersøgelsesarbejde;;"Detektiv, kriminalkommissær, politiinspektør ";;;;
206;"346";3;Socialt vejlednings- og omsorgsarbejde;;;;;;
207;"3460";4;Socialt vejlednings- og omsorgsarbejde;;Familievejleder, hjemmevejleder, socialrådgiver (Besøgskonsulent: 2446, bistandsrådgiver: 3443);;;;
208;"347";3;Arbejde inden for kunst, underholdning og sport;;;;;;
209;"3471";4;Arbejde med dekoration, design, illustration og indretning;;"Dekoratør, designer, grafisk konsulent, indretningsarkitekt, tegner ";;;;
210;"3472";4;Speakerarbejde;;"Discjockey, speaker, sufflør ";;;;
211;"3473";4;Arbejde med dans og musik, der ikke forudsætter færdigheder på højeste niveau;;"Danser, korist ";;;;
212;"3474";4;Artistarbejde med videre;;"Artist, dressør, gøgler, statist ";;;;
213;"3475";4;Sportsudøvelse og trænervirksomhed;;"Berider, danselærer, fitnessinstruktør, fodboldspiller, jockey, svømmelærer, tennisspiller, træner ";;;;
214;"348";3;Arbejde med tilknytning til religion;;;;;;
215;"3480";4;Arbejde med tilknytning til religion;;Kordegn, missionær (Præst: 2460);;;;
