code,text_da,valid_from,valid_to
DA170A,Tuberkuløs meningitis                                                                                                   003001      SKS     3,19940101,20111231
DA171,Tuberkulom i hjernehinder                                                                                               003001      SKS     1,20120101,25000101
DA178,Anden form for tuberkulose i nervesystemet                                                                              003001      SKS     1,20120101,25000101
DA178A,Abscessus cerebri tuberculosus                                                                                          003001      SKS     3,19940101,20111231
DA178B,Neuritis tuberculosa                                                                                                    003001      SKS     3,19940101,20111231
DA178C,Tuberculoma medullae spinalis                                                                                           003001      SKS     3,19940101,20111231
DA178D,Tuberculosis cerebri                                                                                                    003001      SKS     3,19940101,20111231
DA178E,Tuberculosis medullae spinalis                                                                                          003001      SKS     3,19940101,20111231
DA179,Tuberkulose i nervesystemet UNS                                                                                         003001      SKS     1,20120101,25000101
DA18,Tuberkulose i andre organer                                                                                                001      SKS     1,20120101,25000101
DA180,Tuberkulose i knogler og led                                                                                            010001      SKS     1,20120101,25000101
DA180A,Necrosis ossis tuberculosa                                                                                              010001      SKS     3,19940101,20111231
DA180B,Ostitis tuberculosa                                                                                                     010001      SKS     3,19940101,20111231
DA180C,Tendovaginitis tuberculosa                                                                                              010001      SKS     3,19940101,20111231
DA180D,Tuberculosis articuli                                                                                                   010001      SKS     3,19940101,20111231
DA180E,Tuberculosis columnae vertebralis                                                                                       010001      SKS     3,19940101,20111231
DA180F,Tuberculosis coxae                                                                                                      010001      SKS     3,19940101,20111231
DA180G,Tuberculosis genus                                                                                                      010001      SKS     3,19940101,20111231
DA181,Tuberkulose i urinveje og kønsorganer                                                                                   009001      SKS     1,20120101,25000101
DA181A,Tuberculosis cervicis uteri                                                                                             009001      SKS     3,19940101,20111231
DA181B,Tuberculosis organorum genitalium feminae                                                                               009001      SKS     3,19940101,20111231
DA181C,Tuberculosis organorum genitalium viri                                                                                  009001      SKS     3,19940101,20111231
DA181D,Tuberculosis renis                                                                                                      009001      SKS     3,19940101,20111231
DA181E,Tuberculosis ureteris                                                                                                   009001      SKS     3,19940101,20111231
DA181F,Tuberculosis vesicae urinariae                                                                                          009001      SKS     3,19940101,20111231
DA182,Tuberkulose i perifere lymfeknuder                                                                                      001001      SKS     1,20120101,25000101
DA183,"Tuberkulose i tarm, bughinde og mesenteriale lymfeknuder                                                                008001      SKS     1",20120101,25000101
DA183A,FEJLOPRETTET                                                                                                            008001      SKS     3,20120101,20120101
DA183B,FEJLOPRETTET                                                                                                            008001      SKS     3,20120101,20120101
DA183C,FEJLOPRETTET                                                                                                            008001      SKS     3,20120101,20120101
DA183D,Tuberculosis mesenterii                                                                                                 008001      SKS     3,19940101,20111231
DA183E,Tuberculosis peritonei                                                                                                  008001      SKS     3,19940101,20111231
DA183F,Tuberkulose i retroperitoneale lymfeknuder                                                                              008001      SKS     1,20120101,25000101
DA183G,Tuberkuløs ascites                                                                                                      008001      SKS     1,20120101,25000101
DA183H,Tuberkulose i mesenteriale lymfeknuder                                                                                  008001      SKS     1,20120101,25000101
DA184,Tuberkulose i hud og underhud                                                                                           013001      SKS     1,20120101,25000101
DA184A,Lupus                                                                                                                   013001      SKS     1,20120101,25000101
DA184B,Lupus excedens                                                                                                          013001      SKS     1,20120101,25000101
DA184C,Lupus vulgaris                                                                                                          013001      SKS     1,20120101,25000101
DA184D,Scrofuloderma                                                                                                           013001      SKS     1,20120101,25000101
DA184E,Tuberculosis cutis                                                                                                      013001      SKS     3,19940101,20111231
