Gyldig fra,Gyldig til,Kode,Tekst
,,1316705,Indbrud i apotek
,,1316710,Indbrud i hospital
,,1316715,Indbrud i lægekonsultation o.l.
,,1316805,Pengeskabstyveri ved skærebrænder
,,1316810,Pengeskabstyveri ved sprængstof
,,1316815,Pengeskabstyveri ved vinkelslibere
,,1316820,Pengeskabstyveri
,,1316905,Indbrud i øvrigt
,,1320505,Indbrud i villa o.l.
,,1320510,Indbrud i landejendom
,,1320705,Indbrud i lejlighed
,,1320710,Indbrud i værelse
,,1324305,Indbrud i skib/båd (fast bemandede)
,,1324310,Indbrud i nybygning/prøvehus
,,1324315,Indbrud i skib/båd (lystbåde)
,,1324505,Indbrud i fritidshus
,,1324510,Indbrud i kolonihavehus
,,1324705,Indbrud i garage/udhus
,,1324710,Indbrud i kælder-/lofts-/pulterrum
,,1324715,Indbrud i campingvogn
,,1324720,Indbrud i arbejdsskur/kontorvogn o.l.
,,1324725,Indbrud i isbod/pølsebod
,,1328505,Tyveri fra personbil
,,1328510,Tyveri fra lastbil/varebil
,,1328705,Tyveri fra motorcykel/scooter
,,1328710,Tyveri fra knallert
,,1328715,Tyveri fra cykel
,,1328720,Tyveri fra både
,,1328725,Tyveri fra andet køretøj
,,1332305,Tyveri fra automat i møntvaskeri etc.
,,1332310,Tyveri fra benzinautomat
,,1332315,Tyveri fra frimærkeautomat
,,1332320,Tyveri fra vareautomat
,,1332325,Tyveri fra telefonautomat
,,1332330,Tyveri fra parkometerautomat
,,1332335,Tyveri fra spilleautomat
,,1332502,Butikstyveri fra andre forretninger
,,1332505,Butikstyveri beklædning/skind/fodtøj
,,1332510,Butikstyveri kiosk/cigar-/vinhandel
,,1332515,Butikstyveri købmand/supermarked/mejeri
,,1332520,Butikstyveri radio-/fotoforretning
,,1332525,Butikstyveri urmager/guldsmed
,,1332530,Butikstyveri møntvaskeri
,,1332535,"Butikstyveri, tricktyveri"
,,1332705,Rudeknusningstyveri radio-/fotoforretning
,,1332710,Rudeknusningstyveri fra urmager/guldsmed
,,1332715,Rudeknusningstyveri iøvrigt
,,1336305,Tyveri af taske/bagage
,,1336405,"Tyveri, tricktyveri på gadeplan"
,,1336502,Tyveri af barnevogn/klapvogn
,,1336504,Tyveri fra cafeteria/restaurant
,,1336506,Tyveri fra hotel/motel
,,1336507,Tyveri fra kasseapparat
,,1336508,Tyveri fra udstilling
,,1336510,Tyveri fra møntvaskeri
,,1336512,Tyveri fra andre butikker
,,1336513,"Tyveri, tricktyveri i beboelse"
,,1336514,Tyveri fra campingplads
,,1336516,Tyveri fra garderobe
,,1336518,Tyveri fra skole/fritidshjem o.l.
,,1336520,Tyveri fra lejlighed/værelse/etageejendom
,,1336522,Tyveri fra villa/landejendom
,,1336524,Tyveri fra kælder o.l.
,,1336526,Tyveri fra svømmehal/idrætsanlæg/omklædningsrum
,,1336528,Tyveri fra udhængsskab
,,1336530,Tyveri fra hospital/plejehjem
,,1336531,Tyveri fra fritidshus
,,1336532,Tyveri fra institution
,,1336534,Tyveri fra kontor
,,1336536,Tyveri fra kaserne
,,1336538,Tyveri fra byggeplads
,,1336540,Tyveri fra døgnboks
,,1336541,Tyveri fra kaserne (våben/ammunition)
,,1336542,Tyveri fra andre steder
,,1336543,Tyveri fra pengeautomat
,,1336544,Tyveri af afgrøde (korn o.l.)
,,1336545,Tyveri fra garage/udhus
,,1336546,Tyveri af benzin/olie
,,1336548,Tyveri af el/gas
,,1336550,Tyveri af forsendelse
,,1336552,Tyveri af husdyr
,,1336554,Tyveri af nummerplader
,,1336556,Tyveri fra lomme/taske/bagage
,,1336558,Tyveri i tog/skib/fly/bus
,,1336560,Tyveri i lufthavne
,,1336562,Tyveri i forbindelse med prostitution
,,1336564,Tyveri på  banegårde
,,1336566,Tyveri af narkotika
,,1336568,Tyveri i plads
,,1336570,Tyveri i forbindelse med vold
,,1336572,Tyveri i øvrigt
,,1336574,Tyveri af våben
,,1336575,Tyveri af fiskeredskaber/-garn o.l.
,,1336576,Tyveri af metaller (skrot/afklip/afbrænding)
,,1339505,Tyveri af registreret køretøj
,,1339510,Tyveri af uregistreret køretøj
,,1339515,Brugstyveri af registreret personbil
,,1339520,Brugstyveri af lastbil/varebil
,,1339521,Brugstyveri af registreret personbil
,,1339522,Brugstyveri af registreret lastbil/varebil
,,1339523,Brugstyveri af udlejningskøretøj
,,1339524,Brugstyveri af uregistreret personbil
,,1339525,Brugstyveri af udlejningskøretøj
,,1339526,Brugstyveri af uregistreret lastbil/varebil
,,1339530,Brugstyveri af uregistreret personbil
,,1339535,Brugstyveri af uregistreret lastbil/varebil
,,1339705,Brugstyveri af registreret motorcykel/scooter
,,1339706,Brugstyveri af registreret motorcykel/scooter
,,1339707,Brugstyveri af uregistreret motorcykel/scooter
,,1339710,Brugstyveri af uregistreret motorcykel/scooter
,,1342505,Tyveri af knallert
,,1342510,Brugstyveri af knallert
,,1345505,Tyveri af cykel
,,1345510,Brugstyveri af cykel
,,1348205,Brugstyveri af EDB-materiel
,,1348505,Tyveri af skib/båd/fly
,,1348510,Brugstyveri af skib/båd/fly
,,1348515,Brugstyveri af andet
,,1348520,"Brugstyveri af påhængskøretøj, registreret knallert m.v."
,,1348525,Brugstyveri af andet motorkøretøj
,,1351505,Ulovlig omgang med hittegods
,,1354505,Underslæb/tilegnelse af ting
,,1354510,Fragåelsesunderslæb
,,1354515,Underslæb/forbrug af penge
,,1354520,Underslæb med hensyn til våben/ammunition
,,1354705,Underslæb/anvendelse af EDB-materiale
,,1357505,Bedrageri
,,1357510,Socialbedrageri
,,1357511,Socialbedrageri
,,1357512,"Bedrageri, arbejdsløshedskasse"
,,1357515,"Bedrageri, arbejdsløshedskasse"
,,1357520,Bedrageri med øvrig afgifts- eller tilskudslovgivning - grov
,,1357525,Bedrageri med øvrig afgifts- eller tilskudslovgivning
,,1357605,"Bedrageri dankort, overtræk egen konto"
,,1357705,"Bedrageri øvrige kontokort, egen konto"
,,1357805,"Bedrageri øvrige kontokort, stjålne"
,,1357810,"Bedrageri, stjålne dankort"
,,1357905,Databedrageri
,,1360505,"Bedrageri checks, overtræk  egen konto"
,,1360510,"Bedrageri, stjålne checks"
,,1363505,Mandatsvig
,,1363705,Mandatsvig checks
,,1363805,Mandatsvig dankort
,,1363905,"Mandatsvig, anvendelse af EDB-materiale"
,,1366505,Afpresning
,,1366705,Åger
,,1372505,Skyldnersvig
,,1376505,Hæleri
,,1376506,Hæleri
,,1376507,"Hæleri, groft/forretningsmæssig"
,,1376508,Hæleri med hensyn til våben/ammunition
,,1376509,"Hæleri med hensyn til våben/ammunition, groft"
,,1376510,Hæleri med hensyn til våben/ammunition
,,1376511,Hvidvask
,,1376512,"Hvidvask, groft/forretningsmæssig"
,,1380305,Røveri mod pengeinstitut
,,1380310,Særligt farligt røveri mod pengeinstitut
,,1380505,Røveri mod offentlig kontor
,,1380510,Særligt farligt røveri mod offentligt kontor
,,1380705,Røveri mod forretning
,,1380710,Røveri mod tankstation
,,1380715,Særligt farligt røveri mod forretning
,,1380720,Særligt farligt røveri mod tankstation
,,1380902,Røveri mod værditransport
,,1380903,"Røveri, kassetterøveri"
,,1380904,Røveri mod person i egen bolig
,,1380905,Røveri mod andre
,,1380907,Særligt farligt røveri mod værditransport
,,1380908,"Særligt farligt røveri, kassetterøveri"
,,1380910,Særligt farligt røveri mod andre
,,1380911,Særligt farligt røveri mod person i egen bolig
,,1384505,Grov skattesvig
,,1384510,Grov momssvig
,,1384515,Svig med EU-midler
,,1384705,Groft smugleri
,,1390505,Hærværk
,,1390506,"Hærværk, skærpende omstændigheder"
,,1390510,Groft hærværk
,,1390511,"Hærværk, groft (skærpende omstændighed)"
,,1390515,Groft uagtsomt hærværk
,,1390520,"Hærværk, graffiti"
,,1390521,"Hærværk, graffiti (skærpende omstændighed)"
,,1390525,"Hærværk, groft, graffiti"
,,1390526,"Hærværk, groft, graffiti (skærpende omstændighed)"
,,1390705,Hærværk med hensyn til EDB-materiale
,,1394505,Uagtsomt hæleri
,,1398505,Ødelæggelse af egne ting
,,1398510,Hindringer af andres ret
,,1398515,Ulovlig selvtægt
,,1398520,Ulovlig inddæmning
,,1398525,"Svig, der ikke er bedrageri"
,,1398526,"Svig, der ikke er bedrageri (skærpende omstændigheder)"
,,1398527,Uagtsomt svig (ikke bedrageri)
,,1398528,"Insiderhandel/kursmanipulation, skærpende omstændigheder"
,,1398530,Uagtsomt svig (ikke bedrageri)
,,1398535,Urigtige oplysninger om et firmas økonomi
,,1398540,Svigagtig opnåelse af kredit
,,1398545,Ulovligt forbrug af forudbetalt vederlag
,,1398550,Bortfjernelse uden at betale
,,1398555,Tilsnigelse af adgang uden at betale
,,1398560,Returkommission
,,1398563,"Markedsføringsloven, skærpende omstændigheder"
