code,title,level,parent_id,id
1681,"2. år, studenterkursus nysproglig",5,,31f7ecc7-2f17-4288-8950-60fdd669b167
1682,"2. år, studenterkursus klassisksproglig",5,,da6bf79e-88c8-4aae-8b6c-1a791e213ad2
1683,"2. år, studenterkursus samfundsfag-sproglig",5,,7a0f091b-b4de-41c6-8369-d31f6b168fe0
1689,"2. år, studenterkursus sproglig",5,,9691ff82-57d0-4e92-a0b3-c227de5caab6
1721,"1. år, realkursus 3-årigt",5,,40ae68a9-b417-49dd-a7fb-27dbe99e2602
1722,"2. år, realkursus 3-årigt",5,,c234cfc4-08b1-42aa-bdcf-be830c77823d
1723,"3. år, realkursus 3-årigt",5,,6832c60d-41e4-4454-a9d8-89d8ad527b51
1881,"1. år, EB",5,,c4c30426-b722-4b57-af2f-c07894c2c90b
1882,"2. år, EB",5,,9d5fec40-cc4f-490e-824c-cc9ba2d34025
1883,"3. år, EB",5,,b9c0433e-6dad-4c57-98b1-25827d617379
1891,"1.g, pre-IB",5,,370f721d-7bf4-4feb-b496-d80ae39ba5c6
1892,"2.g, IB år 1",5,,9af7105a-69b2-4efb-ac5e-a2c6bf391775
1893,"3.g, IB år 2",5,,7f7bdd13-b1c3-41a1-a313-25929de5e122
1896,"1. år, anden international studentereksamen",5,,b5dc3b31-a145-4243-87df-c109adf348c2
1897,"2. år, anden international studentereksamen",5,,78ddcd13-a0f1-4598-84e0-99ad71f98e53
1898,"3. år, anden international studentereksamen",5,,c2d9a2e5-10b8-42c6-ac33-99d4fc894fe7
1899,International studentereksamen,5,,2ed1798f-44c1-4def-aaa3-14bab83bc98d
1901,Produktionsskole,5,,f873d7a6-2f1e-4732-9547-e161bb38327a
200,1-6 år ivu,5,,59e9c2c2-2d3b-4788-b7ce-17f0ab80a8e8
2003,"Skibskok, grundkursus",5,,bd4b2bdc-0ea9-4c86-809a-e4e67f8a55e3
2005,"Skibsassistent, grundkursus modul 1+2",5,,bb3a0adc-fd79-4a46-af08-df5e4ba8f445
2007,"Befaren matros, afslutningskursus",5,,eea31f48-c76c-452b-b53e-23f26912ede1
2008,"Befaren skibsassistent, modul 3",5,,1dd94acc-9c33-45cc-a434-1e2a6274829c
2009,"Befaren motormand, afslutningskursus",5,,69dc0f6c-af94-4e8d-aa45-ea9d0ceca0c6
2010,"Skibskok, afslutningskursus",5,,ccecf838-3e03-4716-a5aa-45ba4aeda339
2015,Kystskipper,5,,7a3afc47-000f-44cc-b287-feb331d08591
2016,Kystskipper og fiskeskipper af 3.grad,5,,511769b3-10ef-4e4e-936e-a79af6f769c0
2017,Sætteskipper og fiskeskipper af 1.grad,5,,61cbd58c-5089-4a43-88da-d0ea7fa943fd
2018,Erhvervsfisker,5,,9fb28267-0ddf-4afd-92ed-2916b9eba3a5
2019,Færgenavigatør,5,,eb15414d-d9ed-4e90-b39a-a28933e81f44
2021,Sætteskipper,5,,a5635a83-6ab8-41ce-8bf2-7d6ac11e939b
2022,Fiskeskipper af 3.grad,5,,4a46894e-5eb8-4884-a16e-47afe6005043
2027,Fiskeskipper af 1.grad,5,,c6202c36-a49e-4bff-9b63-4123441494e6
2028,Maritimt forberedelseskursus,5,,34f28721-d760-4c91-ba7e-6718463088b6
2029,"Juniorofficer, 1.teoridel",5,,16c2e008-8152-47b2-8d65-57579a558482
205,7-8 år ivu,5,,9f15f75c-fb18-4685-85ea-acbaf6ef5c4d
210,9-10 år ivu,5,,961f859e-e34d-45ae-b7b2-d277d3b30f55
215,"Studentereksamen mv., ivu",5,,3ab8ab94-bea6-46b7-a07b-48ab0c974dfa
220,"Pædagogik, ivu (amu)",5,,b2b3e939-89d2-4c08-94f4-2932b75701b9
239,"Handel/kontor, ivu (amu)",5,,dfd73f6d-4596-471c-98de-357239a82202
2401,Efterskole una,5,,4e4e6f99-49a5-40a2-8926-ed4776a53fbf
2411,"Husholdningskursus, alment",5,,3bff838a-bc66-43c2-8608-edfa4fe3e728
2413,Køkkenleder 1,5,,d08bf570-b9c9-4a1d-8203-8c512f5315ee
2414,Husholdningstekniker,5,,a3ebcabd-73cd-475f-92d2-b5ea60c0f1e7
2417,"Husholdningsskole, andre kurser",5,,d9d11165-a6b5-40b8-8640-4e9185f305b6
2419,Køkkenleder 2,5,,aa863532-cc05-4574-9f8c-5528b78b830f
2421,Håndarbejdskursus,5,,a62ecd82-79a9-485e-81dc-4648e3381f95
2425,Særlig tilrettelagt ungdomsuddannelse (STU),5,,c6fae744-a2f3-4364-8d00-3b8ade99382e
2431,"Ungdomshøjskolekursus, alment",5,,b84677c5-92eb-43ec-99cf-09672c2cc9ce
2432,"Ungdomshøjskolekursus, andre",5,,d9db3d55-6700-484b-b427-5f2f14cc9498
2441,"Folkehøjskolekursus, alment",5,,0d8d23f4-e845-45a6-8f4e-fe6c95953aa5
2442,"Folkehøjskolekursus, særlig gymnastik-/idrætskursus",5,,2663b424-3bff-4c22-927d-5f765b37c64c
2443,"Folkehøjskolekursus, håndarbejde og sløjd",5,,39addf6c-f24d-4f54-96f1-a805e060c18c
