SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
94;"12.00.00";2;Fremstilling af tobaksvarer;;;;;;
95;"C13-C15";1;Tekstil-, beklædnings- og læderindustri;;;;;;
96;"13.10.00";2;Forbehandling og spinding af tekstilfibre;;;;;;
97;"13.20.00";2;Vævning af tekstiler;;;;;;
98;"13.30.00";2;Efterbehandling af tekstiler;;;;;;
99;"13.91.00";2;Fremstilling af trikotagestoffer;;;;;;
100;"13.92.00";2;Fremstilling af tekstiler til husholdningsbrug og færdige boligtekstiler;;;;;;
101;"13.93.00";2;Fremstilling af gulvtæpper og -måtter;;;;;;
102;"13.94.00";2;Fremstilling af reb, tovværk, sejlgarn og netstoffer;;;;;;
103;"13.95.00";2;Fremstilling af fiberdug og varer af fiberdug;;;;;;
104;"13.96.00";2;Fremstilling af andre tekniske og industrielle tekstiler;;;;;;
105;"13.99.00";2;Fremstilling af andre tekstiler i.a.n.;;;;;;
106;"14.10.00";2;Fremstilling af strikkede og hæklede beklædningsartikler;;;;;;
107;"14.21.00";2;Fremstilling af yderbeklædning;;;;;;
108;"14.22.00";2;Fremstilling af underbeklædning;;;;;;
109;"14.23.00";2;Fremstilling af arbejdsbeklædning;;;;;;
110;"14.24.00";2;Fremstilling af beklædningsartikler af læder og pelsskind;;;;;;
111;"14.29.00";2;Fremstilling af andre beklædningsartikler samt tilbehør i.a.n.;;;;;;
112;"15.11.00";2;Garvning, beredning og farvning af læder og pelsskind;;;;;;
113;"15.12.00";2;Fremstilling af tasker, kufferter, sadelmagervarer mv., uanset materialets art;;;;;;
114;"15.20.00";2;Fremstilling af fodtøj;;;;;;
115;"C16-C18";1;Træ- og papirindustri samt trykning;;;;;;
116;"16.11.00";2;Udsavning og høvling af træ;;;;;;
117;"16.12.00";2;Forarbejdning og færdigbearbejdning af træ;;;;;;
118;"16.21.00";2;Fremstilling af finerplader og træbaserede plader;;;;;;
119;"16.22.00";2;Fremstilling af sammensatte parketstave;;;;;;
120;"16.23.00";2;Fremstilling af bygningstømmer og snedkeriartikler i øvrigt;;;;;;
121;"16.24.00";2;Fremstilling af træemballage;;;;;;
122;"16.25.00";2;Fremstilling af døre og vinduer af træ;;;;;;
123;"16.26.00";2;Fremstilling af fast brændsel på basis af vegetabilsk biomasse;;;;;;
124;"16.27.00";2;Færdigbearbejdning af trævarer;;;;;;
125;"16.28.00";2;Fremstilling af andre trævarer og varer af kork, strå og flettematerialer;;;;;;
126;"17.11.00";2;Fremstilling af papirmasse;;;;;;
127;"17.12.00";2;Fremstilling af papir og pap;;;;;;
128;"17.21.00";2;Fremstilling af bølgepap, pap og emballage af papir og pap;;;;;;
129;"17.22.00";2;Fremstilling af husholdningsartikler og hygiejneartikler samt toiletartikler af papir og pap;;;;;;
130;"17.23.00";2;Fremstilling af kontorartikler af papir;;;;;;
131;"17.24.00";2;Fremstilling af tapet;;;;;;
132;"17.25.00";2;Fremstilling af andre papir- og papvarer;;;;;;
133;"18.11.00";2;Trykning af dagblade;;;;;;
134;"18.12.00";2;Anden trykning;;;;;;
135;"18.13.00";2;Prepress- og premedia-arbejde;;;;;;
136;"18.14.00";2;Bogbinding og lignende serviceydelser;;;;;;
137;"18.20.00";2;Reproduktion af indspillede medier;;;;;;
138;"C19";1;Mineralolieindustri;;;;;;
139;"19.10.00";2;Fremstilling af koksovnsprodukter;;;;;;
140;"19.20.00";2;Fremstilling af raffinerede mineralolieprodukter og fossile brændstoffer;;;;;;
141;"C20";1;Kemisk industri;;;;;;
142;"20.11.00";2;Fremstilling af industrigasser;;;;;;
143;"20.12.00";2;Fremstilling af farvestoffer og pigmenter;;;;;;
144;"20.13.00";2;Fremstilling af andre uorganiske basiskemikalier;;;;;;
145;"20.14.00";2;Fremstilling af andre organiske basiskemikalier;;;;;;
146;"20.15.00";2;Fremstilling af gødningsstoffer og nitrogenprodukter;;;;;;
147;"20.16.00";2;Fremstilling af plast i ubearbejdet form;;;;;;
148;"20.17.00";2;Fremstilling af syntetisk gummi i ubearbejdet form;;;;;;
149;"20.20.00";2;Fremstilling af pesticider, desinfektionsmidler og andre agrokemiske produkter;;;;;;
150;"20.30.00";2;Fremstilling af maling, lak og lignende overfladebehandlingsmidler, trykfarver samt tætningsmaterialer;;;;;;
151;"20.41.00";2;Fremstilling af sæbe, rengørings- og rensemidler samt poleremidler;;;;;;
152;"20.42.00";2;Fremstilling af parfume, hårshampoo, tandpasta mv.;;;;;;
153;"20.51.00";2;Fremstilling af flydende biobrændstoffer;;;;;;
154;"20.59.00";2;Fremstilling af andre kemiske produkter i.a.n.;;;;;;
155;"20.60.00";2;Fremstilling af kemofibre;;;;;;
156;"C21";1;Medicinalindustri;;;;;;
157;"21.10.00";2;Fremstilling af farmaceutiske råvarer;;;;;;
158;"21.20.00";2;Fremstilling af farmaceutiske præparater;;;;;;
159;"C22-C23";1;Gummi-, plast-, glas- og betonindustri;;;;;;
160;"22.11.00";2;Fremstilling og vulkanisering af gummidæk og fremstilling af gummislanger;;;;;;
161;"22.12.00";2;Fremstilling af andre gummiprodukter;;;;;;
162;"22.21.00";2;Fremstilling af plader, ark, rør og slanger samt profiler af plast;;;;;;
163;"22.22.00";2;Fremstilling af plastemballage;;;;;;
164;"22.23.00";2;Fremstilling af døre og vinduer af plast;;;;;;
165;"22.24.00";2;Fremstilling af bygningsartikler af plast;;;;;;
166;"22.25.00";2;Forarbejdning og færdigbehandling af plastprodukter;;;;;;
167;"22.26.00";2;Fremstilling af andre plastprodukter;;;;;;
168;"23.11.00";2;Fremstilling af planglas;;;;;;
169;"23.12.00";2;Formning og forarbejdning af planglas;;;;;;
170;"23.13.00";2;Fremstilling af flasker, drikkeglas mv.;;;;;;
171;"23.14.00";2;Fremstilling af glasfiber;;;;;;
172;"23.15.00";2;Fremstilling og bearbejdning af andet glas, herunder teknisk glas;;;;;;
173;"23.20.00";2;Fremstilling af ildfaste produkter;;;;;;
174;"23.31.00";2;Fremstilling af keramiske teglsten og gulvfliser;;;;;;
175;"23.32.00";2;Fremstilling af mursten, teglsten og byggematerialer af brændt ler;;;;;;
176;"23.41.00";2;Fremstilling af keramiske husholdningsartikler og pyntegenstande;;;;;;
177;"23.42.00";2;Fremstilling af keramiske sanitetsartikler;;;;;;
178;"23.43.00";2;Fremstilling af keramiske isolatorer og isoleringsdele;;;;;;
179;"23.44.00";2;Fremstilling af andre keramiske produkter til teknisk brug;;;;;;
180;"23.45.00";2;Fremstilling af andre keramiske produkter;;;;;;
181;"23.51.00";2;Fremstilling af cement;;;;;;
182;"23.52.00";2;Fremstilling af kalk og gips;;;;;;
183;"23.61.00";2;Fremstilling af byggematerialer af beton;;;;;;
184;"23.62.00";2;Fremstilling af byggematerialer af gips;;;;;;
185;"23.63.00";2;Fremstilling af færdigblandet beton;;;;;;
186;"23.64.00";2;Fremstilling af mørtel;;;;;;
187;"23.65.00";2;Fremstilling af fibercement;;;;;;
188;"23.66.00";2;Fremstilling af andre produkter af beton, cement og gips;;;;;;
189;"23.70.00";2;Tilhugning, tilskæring og færdigbearbejdning af sten;;;;;;
190;"23.91.00";2;Fremstilling af slibemidler;;;;;;
191;"23.99.10";2;Fremstilling af asfalt og tagpap;;;;;;
192;"23.99.90";2;Fremstilling af andre ikke-metalholdige mineralske produkter, bortset fra asfalt og tagpap;;;;;;
193;"C24-C25";1;Metal- og metalvareindustri;;;;;;
194;"24.10.00";2;Fremstilling af råjern og råstål samt jernlegeringer;;;;;;
195;"24.20.00";2;Fremstilling af rør, hule profiler og tilhørende fittings af stål;;;;;;
196;"24.31.00";2;Fremstilling af stænger ved koldtrækning;;;;;;
197;"24.32.00";2;Fremstilling af stålbånd ved koldvalsning;;;;;;
198;"24.33.00";2;Koldbehandling;;;;;;
199;"24.34.00";2;Fremstilling af tråd ved koldtrækning;;;;;;
200;"24.41.00";2;Fremstilling af ædelmetaller;;;;;;
201;"24.42.00";2;Fremstilling af aluminium;;;;;;
202;"24.43.00";2;Fremstilling af bly, zink og tin;;;;;;
203;"24.44.00";2;Fremstilling af kobber;;;;;;
204;"24.45.00";2;Anden fremstilling af ikke-jernholdige metaller;;;;;;
205;"24.46.00";2;Oparbejdning af nukleart brændsel;;;;;;
206;"24.51.00";2;Støbning af jernprodukter;;;;;;
207;"24.52.00";2;Støbning af stålprodukter;;;;;;
208;"24.53.00";2;Støbning af letmetalprodukter;;;;;;
209;"24.54.00";2;Støbning af andre ikke-jernholdige metalprodukter;;;;;;
210;"25.11.00";2;Fremstilling af metalkonstruktioner og dele heraf;;;;;;
211;"25.12.00";2;Fremstilling af døre og vinduer af metal;;;;;;
212;"25.21.00";2;Fremstilling af radiatorer, damp- og fyringskedler til centralvarmeanlæg;;;;;;
213;"25.22.00";2;Fremstilling af andre tanke og beholdere af metal;;;;;;
214;"25.30.00";2;Fremstilling af våben og ammunition;;;;;;
215;"25.40.00";2;Smedning og valsning af metal samt pulvermetallurgi;;;;;;
216;"25.51.00";2;Overfladebehandling af metal;;;;;;
217;"25.52.00";2;Varmebehandling af metal;;;;;;
218;"25.53.00";2;Maskinforarbejdning af metal;;;;;;
219;"25.61.00";2;Fremstilling af bestik, skære- og klipperedskaber;;;;;;
220;"25.62.00";2;Fremstilling af låse og hængsler;;;;;;
221;"25.63.00";2;Fremstilling af håndværktøj;;;;;;
222;"25.91.00";2;Fremstilling af metaltønder og lignende beholdere;;;;;;
223;"25.92.00";2;Fremstilling af letmetalemballage;;;;;;
224;"25.93.00";2;Fremstilling af trådvarer, kæder og fjedre;;;;;;
225;"25.94.00";2;Fremstilling af lukkeanordninger, bolte, skruer og møtrikker;;;;;;
226;"25.99.00";2;Fremstilling af andre færdige metalprodukter i.a.n.;;;;;;
227;"C26";1;Elektronikindustri;;;;;;
228;"26.11.00";2;Fremstilling af elektroniske komponenter;;;;;;
229;"26.12.00";2;Fremstilling af printplader o.lign.;;;;;;
230;"26.20.00";2;Fremstilling af computere og ydre enheder;;;;;;
231;"26.30.00";2;Fremstilling af kommunikationsudstyr;;;;;;
232;"26.40.00";2;Fremstilling af elektronik til husholdninger;;;;;;
233;"26.51.00";2;Fremstilling af instrumenter og udstyr til måling, afprøvning og navigation;;;;;;
234;"26.52.00";2;Fremstilling af ure;;;;;;
235;"26.60.10";2;Fremstilling af høreapparater og dele hertil;;;;;;
236;"26.60.90";2;Fremstilling af bestrålingsudstyr og elektromedicinsk og elektroterapeutisk udstyr;;;;;;
237;"26.70.00";2;Fremstilling af optiske instrumenter, magnetiske og optiske medier og fotografisk udstyr;;;;;;
238;"C27";1;Fremstilling af elektrisk udstyr;;;;;;
239;"27.11.00";2;Fremstilling af elektriske motorer, generatorer og transformatorer;;;;;;
240;"27.12.00";2;Fremstilling af elektriske fordelings- og kontrolapparater;;;;;;
241;"27.20.00";2;Fremstilling af batterier og akkumulatorer;;;;;;
242;"27.31.00";2;Fremstilling af lyslederkabler;;;;;;
243;"27.32.00";2;Fremstilling af andre elektroniske og elektriske ledninger og kabler;;;;;;
244;"27.33.00";2;Fremstilling af tilbehør til ledninger og kabler;;;;;;
245;"27.40.00";2;Fremstilling af belysningsartikler;;;;;;
246;"27.51.00";2;Fremstilling af elektriske husholdningsapparater;;;;;;
247;"27.52.00";2;Fremstilling af ikke-elektriske husholdningsapparater;;;;;;
248;"27.90.00";2;Fremstilling af andet elektrisk udstyr;;;;;;
249;"C28";1;Maskinindustri;;;;;;
250;"28.11.00";2;Fremstilling af motorer og turbiner, undtagen motorer til flyvemaskiner, motorkøretøjer og knallerter;;;;;;
251;"28.12.00";2;Fremstilling af hydraulisk udstyr;;;;;;
252;"28.13.00";2;Fremstilling af andre pumper og kompressorer;;;;;;
253;"28.14.00";2;Fremstilling af andre haner og ventiler;;;;;;
254;"28.15.00";2;Fremstilling af lejer, tandhjul, tandhjulsudvekslinger og drivelementer;;;;;;
255;"28.21.00";2;Fremstilling af ovne, ildsteder og fyringsaggregater til boligopvarmning;;;;;;
256;"28.22.00";2;Fremstilling af løfte- og håndteringsudstyr;;;;;;
257;"28.23.00";2;Fremstilling af kontormaskiner og -udstyr, undtagen computere og ydre enheder;;;;;;
258;"28.24.00";2;Fremstilling af motordrevet håndværktøj;;;;;;
259;"28.25.00";2;Fremstilling af klimaanlæg, ikke til husholdningsbrug;;;;;;
260;"28.29.00";2;Fremstilling af andre maskiner til generelle formål i.a.n.;;;;;;
261;"28.30.00";2;Fremstilling af landbrugs- og skovbrugsmaskiner;;;;;;
262;"28.41.00";2;Fremstilling af metalforarbejdende maskiner og maskinværktøj til bearbejdning af metal;;;;;;
263;"28.42.00";2;Fremstilling af andet maskinværktøj;;;;;;
264;"28.91.00";2;Fremstilling af maskiner til metallurgi;;;;;;
265;"28.92.00";2;Fremstilling af maskiner til råstofindvindingsindustrien samt bygge- og anlæg;;;;;;
266;"28.93.00";2;Fremstilling af maskiner til føde-, drikke- og tobaksvareindustrien;;;;;;
267;"28.94.00";2;Fremstilling af maskiner til produktion af tekstiler, beklædningsartikler og læder;;;;;;
268;"28.95.00";2;Fremstilling af maskiner til produktion af papir og pap;;;;;;
269;"28.96.00";2;Fremstilling af maskiner til produktion af plast og gummi;;;;;;
270;"28.97.00";2;Fremstilling af maskiner til additiv fremstilling;;;;;;
271;"28.99.00";2;Fremstilling af andre maskiner til specielle formål i.a.n.;;;;;;
272;"C29-C30";1;Transportmiddelindustri;;;;;;
273;"29.10.00";2;Fremstilling af motorkøretøjer;;;;;;
274;"29.20.00";2;"Fremstilling af karosserier til motorkøretøjer; fremstilling af påhængsvogne og sættevogne";;;;;;
275;"29.31.00";2;Fremstilling af elektrisk og elektronisk udstyr til motorkøretøjer;;;;;;
276;"29.32.00";2;Fremstilling af andre dele og tilbehør til motorkøretøjer;;;;;;
277;"30.11.00";2;Bygning af civile skibe og flydende materiel;;;;;;
278;"30.12.00";2;Bygning af både til fritid og sport;;;;;;
279;"30.13.00";2;Bygning af militærfartøjer;;;;;;
280;"30.20.00";2;Fremstilling af lokomotiver og andet rullende materiel til jernbaner og sporveje;;;;;;
281;"30.31.00";2;Fremstilling af civile luft- og rumfartøjer o.lign.;;;;;;
282;"30.32.00";2;Fremstilling af militære luft- og rumfartøjer o.lign.;;;;;;
283;"30.40.00";2;Fremstilling af militære kampkøretøjer;;;;;;
284;"30.91.00";2;Fremstilling af motorcykler;;;;;;
285;"30.92.00";2;Fremstilling af cykler og kørestole;;;;;;
286;"30.99.00";2;Fremstilling af andre transportmidler i.a.n.;;;;;;
287;"C31-C33";1;Møbelindustri og anden industri;;;;;;
288;"31.00.00";2;Fremstilling af møbler;;;;;;
289;"32.11.00";2;Prægning af mønter;;;;;;
290;"32.12.00";2;Fremstilling af smykker og lignende varer;;;;;;
291;"32.13.00";2;Fremstilling af bijouteri og lignende varer;;;;;;
292;"32.20.00";2;Fremstilling af musikinstrumenter;;;;;;
293;"32.30.00";2;Fremstilling af sportsudstyr;;;;;;
294;"32.40.00";2;Fremstilling af spil og legetøj;;;;;;
295;"32.50.00";2;Fremstilling af medicinske og dentale instrumenter samt udstyr hertil;;;;;;
296;"32.91.00";2;Fremstilling af koste og børster;;;;;;
297;"32.99.00";2;Andre fremstillingsaktiviteter i.a.n.;;;;;;
298;"33.11.00";2;Reparation og vedligeholdelse af færdige metalprodukter;;;;;;
299;"33.12.00";2;Reparation og vedligeholdelse af maskiner;;;;;;
300;"33.13.00";2;Reparation og vedligeholdelse af elektronisk og optisk udstyr;;;;;;
301;"33.14.00";2;Reparation og vedligeholdelse af elektrisk udstyr;;;;;;
302;"33.15.00";2;Reparation og vedligeholdelse af civile skibe og både;;;;;;
303;"33.16.00";2;Reparation og vedligeholdelse af civile luft- og rumfartøjer;;;;;;
304;"33.17.00";2;Reparation og vedligeholdelse af andre civile transportmidler;;;;;;
305;"33.18.00";2;Reparation og vedligeholdelse af militære kampkøretøjer, skibe, både og luft- og rumfartøjer;;;;;;
306;"33.19.00";2;Reparation og vedligeholdelse af andet udstyr;;;;;;
307;"33.20.00";2;Installation af industrimaskiner og -udstyr;;;;;;
308;"D";1;Energiforsyning;;;;;;
309;"35.11.00";2;Produktion af elektricitet fra ikke-vedvarende energikilder;;;;;;
310;"35.12.00";2;Produktion af elektricitet fra vedvarende energikilder;;;;;;
311;"35.13.00";2;Transmission af elektricitet;;;;;;
312;"35.14.00";2;Distribution af elektricitet;;;;;;
313;"35.15.10";2;Handel med elektricitet via ladestationer o. lign.;;;;;;
314;"35.15.90";2;Anden handel med elektricitet;;;;;;
315;"35.16.00";2;Lagring af elektricitet;;;;;;
316;"35.21.00";2;Produktion af gas;;;;;;
317;"35.22.00";2;Distribution af gas;;;;;;
318;"35.23.00";2;Handel med gas gennem rørledninger;;;;;;
319;"35.24.00";2;Oplagring af gas i forbindelse med drift af forsyningsnet;;;;;;
320;"35.30.00";2;Fjernvarmeforsyning;;;;;;
321;"35.40.00";2;Mægler- og agentaktiviteter i forbindelse med forsyning af elektricitet og naturgas;;;;;;
322;"E";1;Vandforsyning, spildevands- og affaldshåndtering;;;;;;
323;"36.00.00";2;Vandforsyning;;;;;;
324;"37.00.00";2;Opsamling og behandling af spildevand;;;;;;
325;"38.11.00";2;Indsamling af ikke-farligt affald;;;;;;
326;"38.12.00";2;Indsamling af farligt affald;;;;;;
327;"38.21.00";2;Genindvinding af materialer;;;;;;
328;"38.22.00";2;Energiudnyttelse af affald;;;;;;
329;"38.23.00";2;Anden nyttiggørelse af affald;;;;;;
330;"38.31.00";2;Forbrænding uden energiudnyttelse;;;;;;
331;"38.32.00";2;Deponering eller permanent oplagring;;;;;;
332;"38.33.00";2;Anden bortskaffelse af affald;;;;;;
333;"39.00.00";2;Rensning af jord og grundvand og anden dekontaminering;;;;;;
334;"F";1;Byggeri og anlæg;;;;;;
335;"41.00.00";2;Opførelse af bygninger;;;;;;
336;"42.11.00";2;Anlæg af veje og motorveje;;;;;;
337;"42.12.00";2;Anlæg af jernbaner og undergrundsbaner;;;;;;
338;"42.13.00";2;Anlæg af broer og tunneller;;;;;;
339;"42.21.00";2;Anlæg af ledningsnet til væsker;;;;;;
340;"42.22.00";2;Anlæg af ledningsnet til elektricitet og telekommunikation;;;;;;
341;"42.91.00";2;Anlæg af vandveje, havne, diger, dæmninger mv.;;;;;;
342;"42.99.00";2;Andre anlægsaktiviteter i.a.n.;;;;;;
343;"43.11.00";2;Nedrivning;;;;;;
344;"43.12.00";2;Forberedende byggepladsarbejder;;;;;;
345;"43.13.00";2;Funderingsundersøgelser;;;;;;
346;"43.21.00";2;El-installation;;;;;;
347;"43.22.00";2;Installation af vvs-, varme- og klimaanlæg;;;;;;
348;"43.23.00";2;Installation af isolering;;;;;;
349;"43.24.00";2;Andre bygningsinstallationsaktiviteter;;;;;;
350;"43.31.00";2;Stukkatøraktiviteter;;;;;;
351;"43.32.00";2;Tømrer- og bygningssnedkeraktiviteter;;;;;;
352;"43.33.00";2;Udførelse af gulvbelægninger og vægbeklædning;;;;;;
353;"43.34.10";2;Maleraktiviteter;;;;;;
354;"43.34.20";2;Glarmesteraktiviteter;;;;;;
355;"43.35.00";2;Anden bygningsfærdiggørelse;;;;;;
356;"43.41.00";2;Tagdækningsaktiviteter;;;;;;
357;"43.42.00";2;Andre specialiserede bygningsarbejder;;;;;;
358;"43.50.00";2;Specialiserede anlægsaktiviteter;;;;;;
359;"43.60.00";2;Formidlingsaktiviteter i forbindelse med specialiserede bygge- og anlægsarbejder;;;;;;
360;"43.91.00";2;Murerarbejde;;;;;;
361;"43.99.00";2;Andre specialiserede byggeaktiviteter i.a.n.;;;;;;
362;"G";1;Engros- og detailhandel;;;;;;
363;"46.11.00";2;Agenturhandel med landbrugsråvarer, levende dyr, tekstilråvarer og halvfabrikata;;;;;;
364;"46.12.00";2;Agenturhandel med brændstoffer, malme, metaller og kemiske produkter til industrien;;;;;;
365;"46.13.00";2;Agenturhandel med tømmer og andre byggematerialer;;;;;;
366;"46.14.00";2;Agenturhandel med maskiner, teknisk udstyr, skibe og flyvemaskiner;;;;;;
367;"46.15.00";2;Agenturhandel med møbler, husholdningsartikler og isenkram;;;;;;
368;"46.16.00";2;Agenturhandel med tekstiler, beklædning, pelsværk, fodtøj og lædervarer;;;;;;
369;"46.17.10";2;Fiskeauktioner;;;;;;
370;"46.17.90";2;Anden agenturhandel med føde-, drikke- og tobaksvarer;;;;;;
371;"46.18.10";2;Agenturhandel med motorcykler, biler, busser og trailere mv.;;;;;;
372;"46.18.90";2;Agenturhandel med specialiseret varesortiment, bortset fra køretøjer;;;;;;
373;"46.19.00";2;Agenturhandel med ikke-specialiseret varesortiment;;;;;;
374;"46.21.00";2;Engroshandel med korn, uforarbejdet tobak, såsæd og foderstoffer;;;;;;
375;"46.22.00";2;Engroshandel med blomster og planter;;;;;;
376;"46.23.00";2;Engroshandel med levende dyr;;;;;;
377;"46.24.00";2;Engroshandel med huder, skind og læder;;;;;;
378;"46.31.00";2;Engroshandel med frugt og grøntsager;;;;;;
379;"46.32.10";2;Engroshandel med kød og kødprodukter;;;;;;
